,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0014994269034175355,1.0583206881899248e+19,3.3466918365527496e+18,8116241646329866.0,1166727462109955.5,-0.011811681790017826,0.010674538127786024,-0.01685935139093612,0.00011936866903097787,0.0,0.0,1.0,1.0,0.03629065455156028,0.013148379138187253,0.001449035494502236,0.025385592392273382,-0.037214008838038624,0.05770169497771175,-0.03650607513016345,0.05751705257057959,-0.09055024235762257,0.0767763122139672,2.0448575283209425e+42,7.123025797919775e+42,112726133199.10847,265415139673.1055,0.0003139614258068359,2.9525757482399345e-05,8.810674900445778e-06,4.084734022820219e-07,9.25699717398747e-07,6.323193695667619e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.011806515711014978,4.2331272070229565e+19,2.634521213036151e+19,3.402290204910599e+16,9188180359104114.0,0.198741774138314,0.08407924047235033,0.023479713996599004,0.00042807442466958674,0.0,0.0,0.0,0.0,0.1732375708610813,0.10353374235249119,0.420915087726059,0.20014741852817594,0.4868215969556171,0.454468710837703,0.7056373882766139,0.45519425974743805,0.6880258557138397,0.605224708340568,1.0597759154125338e+44,5.609322922099601e+43,1585044803903.6501,2090731476723.2297,0.0022946114642000276,0.00011846982933012131,5.2860555016230896e-05,5.725702068276596e-06,3.937262347382246e-06,3.1241806942298737e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017857,-7.5339e+20,3.993e+17,-2.7696e+17,137820000000000.0,-9.2967,0.0012704,-0.15211,3.8519e-14,0.0,0.0,1.0,1.0,-2.2995,0.001565,-14.364,0.0030114,-13.045,0.0068711,-30.707,0.0067629,-14.636,0.0091187,-2.7028e+45,8.4827e+41,-18743000000000.0,31669000000.0,-0.034914,9.0414e-14,-0.00039222,-2.4543e-05,1.8277e-16,1.4601e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031126,4.6495e+17,6.942e+17,-725070000000000.0,242520000000000.0,-0.019925,0.0022133,-0.021149,2.941e-12,0.0,0.0,1.0,1.0,0.009827,0.0027296,0.0023659,0.005274,-0.074055,0.011971,-0.044238,0.011988,-0.1903,0.015938,-1.7735e+42,1.4784e+42,35259000000.0,54963000000.0,-0.00023974,3.0095e-12,-9.5249e-06,-7.2696e-07,1.9779e-14,1.2147e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00037026,1.2578e+18,8.2557e+17,831040000000000.0,287840000000000.0,-0.0012403,0.0026339,-0.0092442,6.7548e-11,0.0,0.0,1.0,1.0,0.02814,0.0032471,0.022698,0.0062732,-0.019213,0.014244,-0.019867,0.014258,-0.066654,0.018956,2.549e+41,1.7583e+42,67789000000.0,65511000000.0,0.0001384,4.8381e-11,5.547e-06,6.9544e-08,6.0801e-13,3.7325e-14,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00044633,6.3959e+18,9.9679e+17,3457200000000000.0,347130000000000.0,0.0081963,0.0031778,-0.0025877,2.7294e-05,0.0,0.0,1.0,1.0,0.053562,0.0039163,0.038017,0.0075355,0.021023,0.017163,0.010738,0.016926,-0.040144,0.022814,2.1728e+42,2.1198e+42,111230000000.0,78890000000.0,0.00044905,1.944e-05,2.1781e-05,1.0076e-06,2.8391e-07,1.8205e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.30159,3.6205e+20,6.7226e+20,2.8623e+17,2.3337e+17,3.3163,2.1445,0.083849,0.0065436,0.0,0.0,1.0,1.0,6.0184,2.6465,3.7665,5.1588,9.6024,11.607,9.3288,12.005,18.251,15.529,4.7392e+45,1.4313e+45,58094000000000.0,54001000000000.0,0.042786,0.0028892,0.0012387,0.00022353,0.00012836,1.2789e-05,
