,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,0.0
mean,98.47859690844233,0.0639878121284203,64.279427419441,-80.72737362247312,48.735269842152256,0.0016200928032104628,8.887323781718197e+18,3.5971640665873864e+18,6304574772241380.0,1114116557669441.1,-0.0049503419746551565,0.011566412544589821,-0.0016415518682193837,3.33321558119976e-05,0.0,0.0,1.0,1.0,0.03652727017063022,0.014244891646848954,0.019705020890903688,0.027993912544589834,-0.06075446751843045,0.06280985876932209,-0.02749259334334128,0.061683427615933276,-0.07885251560493457,0.08362931741973809,-1.4130213710463722e+42,7.736933909036859e+42,128074188841.46849,746995354934.6017,9811779625921.521,16475354399524.375,0.0003030847925208069,1.4140164633583405e-05,1.4282196343638568e-06,2.0427879233055936e-07,3.074682582050731e-07,1.9888796925003668e-08,
std,8.47520844495104,0.03199984435500202,16.272800487802833,0.3242798373707899,0.16263250110515565,0.01231002072000047,4.971171694044855e+19,2.7363803069482254e+19,2.78984379883558e+16,8524730425395166.0,0.1352901538589059,0.08787957860394066,0.005082986913809685,0.0002274512822955444,0.0,0.0,0.0,0.0,0.16953140433609828,0.10829272546505232,0.312351108316264,0.21258730140047497,0.5720321881353714,0.4777835125602965,0.9040082338313135,0.4689065587179365,0.8163755808883237,0.6360500353485479,9.121831375037833e+43,5.879939829302117e+43,3076067975728.581,5586710893386.835,224759983598063.25,125178242945477.73,0.0018999651809363494,6.990491791559011e-05,2.6690779555646327e-05,3.2408720648143485e-06,1.625261693351025e-06,8.138021669047947e-08,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017917,-1.6599e+21,3.9717e+17,-4.0503e+17,119820000000000.0,-2.3779,0.001282,-0.102,1.8437e-14,0.0,0.0,1.0,1.0,-2.2401,0.0015736,-7.373,0.00312,-14.309,0.0069402,-35.42,0.0068112,-12.592,0.0092166,-4.1442e+45,8.5411e+41,-39796000000000.0,69243000000.0,-8472300000000000.0,1823200000000.0,-0.011841,3.8311e-14,-0.00067254,-0.00014793,2.158e-16,1.3787e-17,
25%,100.0,0.06,49.37843,-81.04994975,48.56431875,0.0003297,-7.247125e+16,7.322875e+17,-673752500000000.0,222802500000000.0,-0.017413249999999998,0.0023514,-0.0020541,1.759775e-12,0.0,0.0,1.0,1.0,0.009933,0.002899,-0.0031953249999999997,0.00569055,-0.08469725,0.0127885,-0.038899,0.01253275,-0.1883175,0.017030249999999997,-3.086575e+42,1.5741e+42,92331750000.0,152580000000.0,-1843500000000.0,3352400000000.0,-0.000191065,2.69735e-12,-5.8958e-06,-2.2936e-07,1.534225e-14,9.147349999999999e-16,
50%,100.0,0.06,64.3748625,-80.591343,48.70966,0.000394125,7.01005e+17,8.73895e+17,606675000000000.0,264815000000000.0,-0.000354615,0.0028139999999999997,-0.000511125,7.07145e-12,0.0,0.0,1.0,1.0,0.027918,0.00346515,0.0197325,0.0067989,-0.0286585,0.015274,-0.0150215,0.014977,-0.06634999999999999,0.020343,-9.00965e+41,1.88265e+42,198975000000.0,182255000000.0,2300450000000.0,4011700000000.0,9.69515e-05,7.7217e-12,1.2576e-06,1.81e-07,6.84615e-14,4.3832499999999996e-15,
75%,100.0,0.06,78.3611295,-80.42660925,48.9078605,0.000465695,5.6823e+18,1.033475e+18,2532525000000000.0,313305000000000.0,0.00899445,0.00332255,0.0003586675,5.3762e-10,0.0,0.0,1.0,1.0,0.05281775,0.00409325,0.0372465,0.008025125000000001,0.01314175,0.018066,0.01800175,0.0176815,-0.04045225,0.02405375,9.441775e+41,2.225625e+42,319015000000.0,218535000000.0,9189450000000.0,4738750000000.0,0.0003978975,8.85995e-10,7.950324999999999e-06,6.816825e-07,9.844299999999999e-12,5.39805e-13,
max,100.0,0.6,95.572578,-80.368744,49.026775,0.33122,3.8209e+20,7.3448e+20,2.2942e+17,2.255e+17,4.8403,2.3611,0.026434,0.011023,0.0,0.0,1.0,1.0,4.3431,2.9102,9.9645,5.7213,12.886,12.902,12.963,12.619,28.459,17.1,1.9625e+45,1.5803e+45,80556000000000.0,163580000000000.0,5203800000000000.0,3374600000000000.0,0.044972,0.0019565,0.00050687,4.6661e-05,6.9488e-05,1.8382e-06,
