,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0015160936136701367,1.0336718877637448e+19,3.4234092124814193e+18,6362841495690935.0,987439494799405.6,-0.010433613690939073,0.010841075393759293,-0.044458084379494785,0.0001181932514749038,0.0,0.0,1.0,1.0,0.034537886673105526,0.013335802407132207,0.0073716966897473995,0.02621488665676063,-0.0405968603661219,0.058766485289747566,-0.026449511909985138,0.05923971904903425,-0.09672465452332844,0.0783226214561661,3.040934424632995e+42,7.229593459138193e+42,56342895156.90936,252599660326.8945,10146705004427.936,15358505527488.855,0.00030763745438781506,3.3325821884696805e-05,9.704244458603294e-06,-3.1407164475482816e-08,9.902626181931176e-07,6.324307681253748e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.011561900804830378,4.0905400349088965e+19,2.611156389986518e+19,2.736472298758635e+16,7550874267406522.0,0.18866164209463757,0.08275369045816264,0.03639913747949137,0.00045698069582402747,0.0,0.0,0.0,0.0,0.16351925895101338,0.10171114400722538,0.3928237755273984,0.20007518967037427,0.46496657118841217,0.4483224893177703,0.6806065449519466,0.4527409035807375,0.7309634356116584,0.5978752518598309,1.095629539982769e+44,5.515199908070382e+43,1272576892210.6274,1923021244746.7344,187795420897773.7,117144973161801.6,0.0023659473308078687,0.00014334913282561476,5.867876173772466e-05,5.0020704711617385e-06,3.844911968025737e-06,1.9979641325629387e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017803,-7.7145e+20,4.025e+17,-2.4474e+17,114850000000000.0,-8.6102,0.0012714,-0.16323,2.2066e-14,0.0,0.0,1.0,1.0,-2.3671,0.0015655,-12.397,0.003071,-11.672,0.0068999,-25.352,0.0068656,-13.096,0.0091838,-2.7936e+45,8.4848e+41,-11471000000000.0,29401000000.0,-7429700000000000.0,1803300000000.0,-0.040117,3.4884e-14,-0.0011813,-0.00014684,2.0275e-16,2.2009e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00028791,1.7292e+17,6.4662e+17,-599730000000000.0,186990000000000.0,-0.019353,0.0020489,-0.068617,4.1841e-12,0.0,0.0,1.0,1.0,0.00775,0.0025328,0.0056972,0.0049703,-0.077112,0.011142,-0.038939,0.01133,-0.20398,0.01485,-1.771e+42,1.3716e+42,18247000000.0,48042000000.0,10144000000.0,2915500000000.0,-0.00024159,4.514e-12,-1.1377e-05,-8.9793e-07,3.2245e-14,2.0506e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00033507,9.8211e+17,7.5348e+17,637710000000000.0,218570000000000.0,-1.7153e-05,0.0023887,-0.03915,8.6839e-10,0.0,0.0,1.0,1.0,0.02645,0.0029476,0.02836,0.0058024,-0.014598,0.012982,-0.013873,0.013278,-0.069471,0.017318,1.1605999999999999e+42,1.5963e+42,46650000000.0,56032000000.0,3266000000000.0,3392500000000.0,0.00014915,8.6206e-10,7.3241e-06,-7.1407e-08,1.1605e-11,7.4898e-13,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00044227,6.4535e+18,9.9757e+17,2526200000000000.0,288180000000000.0,0.0093583,0.003158,-0.016138,5.0189e-05,0.0,0.0,1.0,1.0,0.053361,0.0038896,0.045224,0.0076237,0.022445,0.017146,0.02206,0.017158,-0.043703,0.022791,3.3631999999999997e+42,2.1082e+42,74442000000.0,73494000000.0,10887000000000.0,4480500000000.0,0.0004884,3.1657e-05,2.581e-05,8.0413e-07,5.6656e-07,3.4706e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.30935,4.1958e+20,6.9632e+20,2.2912e+17,2.024e+17,3.4099,2.2103,0.12821,0.016852,0.0,0.0,1.0,1.0,5.3245,2.7192,3.1141,5.3209,9.7213,11.987,8.2933,11.849,26.914,15.923,4.7625e+45,1.4753e+45,53342000000000.0,51691000000000.0,3689400000000000.0,3133800000000000.0,0.044566,0.0044444,0.0011819,0.00010077,0.00011348,4.3897e-06,
