,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0015247953372956905,1.0634161162561653e+19,3.430937830609209e+18,7992537887473998.0,1203380748885587.0,-0.011218700476998507,0.010890576879643418,-0.01628956519114416,0.00011470778202749263,0.0,0.0,1.0,1.0,0.03703776144041608,0.013411615245170897,0.005911316156017833,0.026324180564635855,-0.040384386947994094,0.059080515839524665,-0.03875942636344712,0.05878671459138193,-0.08901314961307598,0.0785423254680534,1.8609327172659765e+42,7.271604826151546e+42,106639534537.29568,271678523922.73404,7333088563358.098,15520212421991.084,0.00030413007549182737,2.6511735088988917e-05,1.0535089784011841e-05,3.0697690637147166e-07,7.724664046579275e-07,5.3931167290331434e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.012460445790078632,4.5275792514671575e+19,2.8054932705481134e+19,3.398509879636725e+16,9824663971753182.0,0.18746399195417718,0.08905556332928195,0.022637025800280465,0.0004835360050743073,0.0,0.0,0.0,0.0,0.1770514052908214,0.1096063825740793,0.3666774329028753,0.2154880254659917,0.4499215963043809,0.4829879840615288,0.7434488480676192,0.4838988212975383,0.7351779048571899,0.642847265374999,1.1900535599397109e+44,5.942703707552717e+43,1832434134871.6912,2223852804719.1333,203062160867394.16,126831045062398.97,0.0025379847077278022,9.482635853867629e-05,6.254610287135383e-05,4.314361951280172e-06,2.572147135824735e-06,1.9716664256753238e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017857,-1.207e+21,4.0188e+17,-2.8512e+17,139770000000000.0,-8.6486,0.0012748,-0.15701,5.7964e-14,0.0,0.0,1.0,1.0,-2.0893,0.0015698,-12.783,0.0030709,-13.447,0.0069149,-24.954,0.0067982,-13.709,0.0091679,-3.2962e+45,8.515499999999999e+41,-20508000000000.0,31443000000.0,-7791800000000000.0,1818100000000.0,-0.037407,1.1211e-13,-0.00050219,-9.7001e-05,4.3894e-16,2.4322e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031138,5.0276e+17,6.997e+17,-753350000000000.0,246080000000000.0,-0.019626,0.0022212,-0.02071,2.8712e-12,0.0,0.0,1.0,1.0,0.0098916,0.0027382,0.0036353,0.0053802,-0.07628,0.01206,-0.043618,0.012031,-0.1912,0.016039,-1.8816e+42,1.4842e+42,33752000000.0,55402000000.0,-869080000000.0,3168600000000.0,-0.00023488,3.0568e-12,-8.4095e-06,-6.7154e-07,1.9178e-14,1.2344e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00036804,1.2983e+18,8.275e+17,854350000000000.0,290660000000000.0,-0.00078856,0.002628,-0.0086989,4.3251e-11,0.0,0.0,1.0,1.0,0.028546,0.0032379,0.02379,0.0063584,-0.020929,0.014254,-0.019148,0.014244,-0.068084,0.018942,2.5439e+41,1.7544e+42,64830000000.0,65575000000.0,3192900000000.0,3744300000000.0,0.00015211,3.6897e-11,6.7315e-06,9.8473e-08,3.6507e-13,2.4882e-14,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.0004424,6.6024e+18,9.918e+17,3287400000000000.0,348020000000000.0,0.0085088,0.0031563,-0.0025676,1.8834e-05,0.0,0.0,1.0,1.0,0.053676,0.003889,0.039986,0.0076115,0.020018,0.017132,0.010785,0.016877,-0.042299,0.022745,2.1125e+42,2.1096e+42,101770000000.0,78664000000.0,8661300000000.0,4502400000000.0,0.00048049,1.3146e-05,2.3728e-05,9.7245e-07,1.6355e-07,1.0074e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.34638,3.6115e+20,7.8077e+20,2.8532e+17,2.7247e+17,2.7239,2.4828,0.07199,0.013438,0.0,0.0,1.0,1.0,5.6578,3.0484,4.6259,6.0378,10.446,13.45,7.3077,13.875,22.068,18.015,5.1892e+45,1.6528e+45,70489000000000.0,61869000000000.0,4581700000000000.0,3526000000000000.0,0.048606,0.0016878,0.0019577,7.8382e-05,4.7176e-05,3.6652e-06,
