,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0017713425824665652,9.299894462178312e+18,4.0096288528974715e+18,6544614951557121.0,1212796523031203.5,-0.008977889284695397,0.012636026270430872,-0.01029964112566123,0.0001198105118850519,0.0,0.0,1.0,1.0,0.03543464374413079,0.015519911263001483,0.015062836857057952,0.029944100356612238,-0.049603767039435386,0.06813602829123344,-0.03269543891598803,0.06748237687964326,-0.07546843012273409,0.09043997988112966,1.0990236326894537e+42,8.477153872213992e+42,-174044541718.06836,762716212184.2496,0.0002618158135631498,4.0600879134358144e-05,1.4418617836552963e-06,-2.0793822734918274e-07,1.5023486714623113e-06,9.816606959021844e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.015437531588235938,5.248543884724336e+19,3.4830877287135e+19,2.869068330055521e+16,1.0847625776577702e+16,0.22369891675950368,0.11013408991129892,0.017178408508891164,0.00040180087710360167,0.0,0.0,0.0,0.0,0.21298629787775053,0.13524411653972934,0.40149992274240204,0.26091163236283543,0.5728578350749859,0.5937761171231833,0.8723860687537425,0.5869745360929463,0.89225583603256,0.7875315557369198,1.4349411591526467e+44,7.388891763595385e+43,5157096633067.106,6578760308342.823,0.0019248155649146895,0.00011772922501710088,5.244732090681212e-05,3.041897618634822e-06,3.9822454155612464e-06,2.634662548002704e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.0001785,-1.9227e+21,4.0808e+17,-3.6575e+17,113850000000000.0,-10.936,0.001273,-0.12513,2.0381e-14,0.0,0.0,1.0,1.0,-2.1532,0.0015683,-13.515,0.0030235,-13.392,0.0068624,-31.783,0.0067775,-12.697,0.009107,-3.4578e+45,8.550499999999999e+41,-249540000000000.0,61864000000.0,-0.021908,7.7545e-14,-0.0016251,-3.3177e-05,2.9872e-16,1.2084e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00032023,4.0392e+17,7.2441e+17,-620260000000000.0,215860000000000.0,-0.017469,0.0022826,-0.012375,2.4254e-11,0.0,0.0,1.0,1.0,0.0072737,0.0028063,0.0035129,0.0054257,-0.077515,0.012312,-0.041889,0.0123,-0.17977,0.016377,-2.2288e+42,1.5312e+42,-61103000000.0,136940000000.0,-0.00023721,2.4638e-11,-1.3393e-05,-9.7098e-07,4.0834e-13,2.3756e-14,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00037592,1.2158e+18,8.5059e+17,675690000000000.0,255750000000000.0,0.00012276,0.0026782,-0.0038325,3.7356e-08,0.0,0.0,1.0,1.0,0.025167,0.0032913,0.026039,0.0063587,-0.020681,0.014452,-0.017937,0.014446,-0.062884,0.019219,-4.6875e+40,1.7970999999999998e+42,-18718000000.0,161040000000.0,0.00012832,5.9631e-08,3.2944e-06,-1.2357e-07,1.0214e-09,7.1699e-11,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00045741,5.8754e+18,1.0383e+18,2662300000000000.0,308460000000000.0,0.0091087,0.0032612,-0.00080983,5.0694e-05,0.0,0.0,1.0,1.0,0.050605,0.0040071,0.042586,0.0077288,0.019021,0.017589,0.014893,0.017384,-0.037444,0.023351,1.9888e+42,2.1885999999999998e+42,14507000000.0,198170000000.0,0.00046028,4.8665e-05,2.0296e-05,6.8669e-07,9.7867e-07,6.0716e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.47339,6.1233e+20,1.0593e+21,2.6227e+17,3.5379e+17,3.8691,3.3782,0.051007,0.0069871,0.0,0.0,1.0,1.0,7.6992,4.1457,8.9695,7.9976,10.64,18.203,9.8824,18.002,32.452,24.144,6.9585e+45,2.2665e+45,36747000000000.0,193240000000000.0,0.048039,0.0022649,0.00099529,6.2571e-05,6.8539e-05,4.3034e-06,
