,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0017252382020802406,8.317504407135214e+18,3.4531143387815823e+18,6577917129093611.0,1160587001485884.0,-0.010545921920832103,0.012259636731054997,-0.018744681885586915,8.18369574744942e-05,0.0,0.0,1.0,1.0,0.0361223172251709,0.015104428023774171,0.012043129325973265,0.029181765794947936,-0.05051203066181292,0.06635482118870727,-0.0371330600325112,0.06608530398216932,-0.07786287935601781,0.08825021786032707,3.104022885022286e+42,8.166003126300127e+42,-168290842263.893,755392550965.8247,0.0002506318431025259,2.8036512373483723e-05,6.183224620505223e-06,7.003454653551255e-08,8.756301564069084e-07,5.793658772682626e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.014602845767480629,4.618387297112762e+19,2.9220744516078346e+19,2.850140059480334e+16,9941978717730108.0,0.21627791553906886,0.10378662357148036,0.02382830883562811,0.00027466794994695533,0.0,0.0,0.0,0.0,0.2062674854814183,0.12783331923936514,0.38806855332865015,0.24666777792862118,0.5782690917108299,0.5615747482425256,0.8518343193822557,0.5579275909745314,0.8424137968212624,0.7468199705833466,1.3788424526843398e+44,6.912255120929882e+43,4748367626887.624,6325684737467.542,0.001593615407031345,9.574681052185662e-05,4.9099634160450015e-05,3.8522220007838285e-06,2.599459599540837e-06,1.7205965007263082e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017863,-1.5805e+21,3.5624e+17,-3.5676e+17,115700000000000.0,-10.335,0.0012686,-0.13657,5.0072e-14,0.0,0.0,1.0,1.0,-2.192,0.0015621,-12.932,0.0030122,-14.947,0.0068671,-30.042,0.0067893,-14.746,0.0091208,-3.9622e+45,8.458499999999999e+41,-136020000000000.0,69260000000.0,-0.020383,9.1751e-14,-0.00074998,-1.6374e-05,2.6934e-16,3.1392e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031069,3.0319e+17,6.2057e+17,-624720000000000.0,206150000000000.0,-0.018596,0.0022046,-0.026845,4.4055e-12,0.0,0.0,1.0,1.0,0.0074554,0.0027204,0.0028294,0.0052728,-0.07741,0.01194,-0.041827,0.012054,-0.19056,0.01591,-1.3251999999999999e+42,1.4693e+42,-132420000000.0,135210000000.0,-0.00023247,5.8477e-12,-1.0316e-05,-8.4519e-07,4.054e-14,2.402e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00036793,1.0112e+18,7.3661e+17,662710000000000.0,246210000000000.0,-0.00062858,0.002614,-0.009672,5.584e-10,0.0,0.0,1.0,1.0,0.025416,0.0032234,0.025365,0.0062462,-0.017956,0.014159,-0.01782,0.014253,-0.065071,0.018848,4.6633999999999994e+41,1.7413e+42,-57254000000.0,161180000000.0,0.00012161,8.7282e-10,5.693e-06,-1.1973e-07,1.087e-11,7.5401e-13,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00045818,5.3095e+18,9.1386e+17,2630900000000000.0,308250000000000.0,0.0088298,0.003255,-0.0027585,2.6208e-05,0.0,0.0,1.0,1.0,0.051167,0.0040119,0.042851,0.0077335,0.019523,0.01762,0.01461,0.017411,-0.038519,0.023395,2.4081e+42,2.169e+42,-3768500000.0,199400000000.0,0.00045721,2.206e-05,2.0034e-05,7.3442e-07,3.5757e-07,2.1773e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.42624,4.6637e+20,8.4479e+20,2.4294e+17,3.0157e+17,4.2419,3.0324,0.067787,0.0062748,0.0,0.0,1.0,1.0,6.9272,3.7332,9.3919,7.1966,8.2795,16.39,8.1052,16.262,28.95,21.801,6.2953e+45,2.0172e+45,70974000000000.0,176290000000000.0,0.034192,0.0024507,0.0013569,0.00014085,4.5849e-05,3.9441e-06,
