,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0015322933670133766,8.871906839375927e+18,9.04456858841009e+18,6515921506350966.0,1010400757800891.5,-0.008809521439821694,0.011152684160475485,-0.044889009977233246,0.00014256165323235306,0.0,0.0,1.0,1.0,0.03413613626745914,0.01353835503714712,0.01005262645111442,0.027166050668647895,-0.040119858308469515,0.06081363997028209,-0.02212367427141167,0.06016995420505206,-0.08693325478900471,0.08130955679049039,-3.219558084784548e+42,1.3798145200594362e+43,54241847244.8737,262485037741.45618,11980703019019.316,16898152659732.541,0.00031948458978603124,3.762446716889017e-05,8.795097039762222e-06,2.951951543239055e-08,1.2846279301263488e-06,8.380828162629746e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.012427278557954521,8.36374675713539e+19,7.317196325344426e+19,2.764918813316821e+16,8244602497311890.0,0.17011676751488994,0.09054275465355568,0.03610990985136777,0.0006192528874985157,0.0,0.0,0.0,0.0,0.16455893858139534,0.10983068202464118,0.3645515278691285,0.2207158009030125,0.5044210189940775,0.4929689492371238,0.7153419706395178,0.49015034783114864,0.8263979101398633,0.659585373513584,1.198260764868981e+44,1.1181935446564597e+44,1386983526046.6572,2120500798231.5862,146997871741478.1,137070317431445.6,0.0021130651552103224,0.00012314732544270864,5.3078774385450365e-05,5.693093069062415e-06,3.5082019651885533e-06,2.3246158681717299e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017697,-3.2984e+21,1.0435e+18,-2.6976e+17,116270000000000.0,-8.0694,0.0012867,-0.16336,2.1008e-14,0.0,0.0,1.0,1.0,-2.1412,0.0015624,-10.582,0.0031273,-15.87,0.0070279,-23.754,0.006822,-11.794,0.0093698,-1.0184e+45,1.5942e+42,-11232000000000.0,29101000000.0,-4265200000000000.0,1951300000000.0,-0.02357,5.7025e-14,-0.00063409,-5.4794e-05,2.3414e-16,2.6039e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00028408,5.3226e+16,1.6843e+18,-571530000000000.0,186590000000000.0,-0.01877,0.0020658,-0.06878,6.7785e-12,0.0,0.0,1.0,1.0,0.0073202,0.0025103,0.0033531,0.0050221,-0.082099,0.011296,-0.037495,0.011201,-0.19088,0.015121,-7.0425e+42,2.5605e+42,-1074600000.0,48912000000.0,-519440000000.0,3131700000000.0,-0.00024991,7.0595e-12,-1.3177e-05,-9.804e-07,7.1672e-14,4.5925e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00032986,2.4789e+18,1.9553e+18,698860000000000.0,217020000000000.0,0.00052901,0.002398,-0.038852,7.3767e-08,0.0,0.0,1.0,1.0,0.026051,0.0029154,0.025915,0.005857,-0.019549,0.01314,-0.012806,0.013107,-0.07534,0.017575,-2.335e+42,2.9743e+42,30056000000.0,56728000000.0,3244800000000.0,3637200000000.0,0.00014804,5.537e-08,7.0676e-06,-2.1809e-07,7.7785e-10,5.4422e-11,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00042176,9.1924e+18,2.4981e+18,2616500000000000.0,277160000000000.0,0.010302,0.003068,-0.016981,8.232e-05,0.0,0.0,1.0,1.0,0.053123,0.003724,0.043207,0.0074717,0.021355,0.016766,0.022655,0.016614,-0.048014,0.022395,2.6735e+42,3.8017e+42,56799000000.0,72453000000.0,11987000000000.0,4650700000000.0,0.00050589,4.8034e-05,2.6035e-05,6.9575e-07,9.8756e-07,6.3048e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.40792,8.7451e+20,2.3873e+21,2.31e+17,2.7447e+17,2.2685,2.9796,0.13411,0.028951,0.0,0.0,1.0,1.0,6.3627,3.6087,4.3778,7.2836,10.189,16.165,11.323,16.349,36.571,21.696,4.8053e+45,3.6641e+45,61799000000000.0,69072000000000.0,4083800000000000.0,4501400000000000.0,0.038835,0.0022925,0.0013359,0.00022112,9.6834e-05,6.1294e-06,
