,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,3370.0,0.0
mean,98.4813056379822,0.06420029673590678,64.25045376439158,-80.72822828456962,48.735119623145444,0.002125983243323444,9.616637490002967e+18,5.027728249258171e+18,6538308813261127.0,1771815347181009.0,-0.007146727289317514,0.019397987507418394,-0.003427497618858896,2.3837708096298416e-05,0.0,0.0,1.0,1.0,0.03710128563798212,0.019301650178041554,0.018792359277655782,0.06095180338278943,-0.10806779609661733,0.13809885519287857,-0.012242914228783371,0.11767053370919846,-0.04699607329258164,0.1382468643916913,7.703632877745314e+40,1.7213794540059374e+43,217648317723.44214,2276624845697.3296,12466657300296.736,36610222581602.375,0.00018229767980448876,2.2238142332114942e-05,1.894811696442271e-05,-1.0376815630440391e-06,5.668616572466077e-07,6.227943947709691e-08,
std,8.467901123512636,0.03330654815655407,16.297715721640127,0.32490969962826255,0.16268568769509756,0.01868231927196436,5.847691973091266e+19,4.4060100686263886e+19,3.1392982796195532e+16,1.579183775280994e+16,0.19169943950735352,0.17043000767207858,0.009807174140247621,0.0001077046848178883,0.0,0.0,0.0,0.0,0.2646521526378743,0.16943043500759963,0.6262218472641194,0.5353877868748826,1.957837863082103,1.2138584157434527,0.9413328334393903,1.0327670853480309,1.3205165600216755,1.215088175865352,2.1310967453317534e+44,1.5144897202868577e+44,14426320569381.82,20046903965686.684,331027625757792.4,322045129943118.3,0.0015318848055042229,0.00018018385677952235,4.968802318287112e-05,3.2756935898258277e-06,2.559279128400981e-06,1.5682700489876803e-06,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00016961,-1.4304e+21,3.9608e+17,-6.7569e+17,130880000000000.0,-2.9223,0.0015393,-0.10885,1.7366e-15,0.0,0.0,1.0,1.0,-3.732,0.0015311,-16.572,0.0048352,-76.791,0.010979,-14.015,0.0093818,-15.466,0.010951,-5.158e+45,1.3638e+42,-363980000000000.0,107760000000.0,-7497900000000000.0,2908200000000.0,-0.018127,3.615e-14,-0.00059953,-3.3326e-05,2.3826e-16,9.4669e-18,
25%,100.0,0.06,49.3318175,-81.05050675,48.5647545,0.0003088475,4.85975e+17,7.32155e+17,-585117500000000.0,246337500000000.0,-0.02067925,0.00282205,-0.003251925,1.843525e-12,0.0,0.0,1.0,1.0,0.006794049999999999,0.0028048500000000002,-0.0072343,0.0088446,-0.1218175,0.020104,-0.06957875,0.0171545,-0.1934375,0.020056,-8.194174999999999e+42,2.5096e+42,-64781250000.0,332890000000.0,2569875000000.0,5309050000000.0,-0.000268605,4.15285e-12,-2.965275e-08,-2.32675e-06,2.74555e-14,1.866025e-15,
50%,100.0,0.06,64.3414305,-80.593075,48.709259,0.00035746,1.3618e+18,8.46675e+17,763670000000000.0,292015000000000.0,-0.0042283500000000005,0.00326755,-0.00067183,8.9721e-12,0.0,0.0,1.0,1.0,0.025507000000000002,0.00325445,0.008329449999999999,0.010273000000000001,-0.047177,0.0232785,-0.040964,0.0198735,-0.071007,0.023217,-3.57685e+42,2.9007e+42,64097500000.0,403625000000.0,9786850000000.0,6161600000000.0,8.605099999999999e-05,1.50295e-11,1.6911e-05,-8.4329e-07,1.7073000000000002e-13,1.0766e-14,
75%,100.0,0.06,78.3529985,-80.4266665,48.90781675,0.000418915,6.723125e+18,9.9154e+17,2892950000000000.0,339770000000000.0,0.00835755,0.00382025,0.0006094424999999999,1.5310249999999999e-09,0.0,0.0,1.0,1.0,0.04981475,0.003801925,0.031636,0.01203275,0.022062,0.027241249999999998,0.002265,0.023193250000000002,-0.04074375,0.02720025,1.002275e+42,3.394175e+42,235727500000.0,491452500000.0,24687000000000.0,7207475000000.0,0.000417975,6.90435e-09,4.054075e-05,2.2497500000000001e-07,1.2628750000000001e-10,7.8013e-12,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.47987,1.5933e+21,1.1235e+21,3.861e+17,4.2653e+17,7.2148,4.4148,0.020551,0.0018768,0.0,0.0,1.0,1.0,8.6726,4.3295,21.14,13.774,25.867,31.343,37.014,26.503,49.711,31.362,8.1634e+45,3.9243e+45,568380000000000.0,508240000000000.0,1.0055e+16,8272100000000000.0,0.027733,0.0091737,0.00057602,4.2804e-05,5.8047e-05,9.0598e-05,
