,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0015341988766716206,1.0307326303982158e+19,3.427472362555717e+18,8245203578632986.0,1297767673105497.8,-0.011472389832124822,0.010967691352154543,-0.04015036604689453,0.00010299010648302939,0.0,0.0,1.0,1.0,0.037509493518573564,0.013493915482912369,0.006495122696285274,0.026586882555720517,-0.04453025649101637,0.05945691717682018,-0.031176092647132406,0.0600459828231797,-0.10334586319108469,0.07929973147102515,1.481002895976229e+42,7.337059925705794e+42,50978610920.653786,270891868350.66864,9991235629123.328,15603284576523.031,0.0002456769501040117,2.2507619492210358e-05,1.594806658543837e-05,4.6111229637741294e-07,7.168436329259368e-07,4.8615730487720026e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.012089955096375277,4.5662466526520476e+19,2.701573617532089e+19,3.5694699293835644e+16,1.0211392464680546e+16,0.22724715131829865,0.0864587098189186,0.03702257233261922,0.00038868781700517594,0.0,0.0,0.0,0.0,0.1895019494755702,0.10636423787355057,0.42278372162124755,0.20993041077437088,0.4941693144938719,0.46882596346096894,0.7447472219249892,0.47793845024405507,0.7234638667725245,0.6260582583459766,1.2368044839443392e+44,5.782781734961384e+43,1642482078889.8035,2130688419168.7266,201900869969597.5,122976727617615.42,0.0023267861537572955,8.901719743372337e-05,6.312344599231713e-05,9.629405077341542e-06,2.6917468588906966e-06,1.8642823747184287e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.0001761,-1.3025e+21,3.9158e+17,-4.2738e+17,147420000000000.0,-10.753,0.0012514,-0.16188,1.7658e-14,0.0,0.0,1.0,1.0,-2.2345,0.0015487,-17.703,0.0030441,-11.971,0.0067986,-26.922,0.0067862,-21.631,0.0090492,-3.5822e+45,8.412699999999999e+41,-26707000000000.0,31231000000.0,-8112500000000000.0,1790700000000.0,-0.052707,7.7054e-14,-0.00063684,-0.00046097,3.1209e-16,1.8813e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00029212,3.8353e+17,6.5082e+17,-766710000000000.0,247680000000000.0,-0.019532,0.0020809,-0.061708,2.625e-12,0.0,0.0,1.0,1.0,0.0091135,0.0025704,0.0040526,0.0050778,-0.077513,0.011298,-0.0406,0.011531,-0.20875,0.015087,-1.9486e+42,1.3953e+42,19846000000.0,51746000000.0,-415230000000.0,2972300000000.0,-0.00024787,2.6968e-12,-4.6815e-06,-6.5969e-07,1.6251e-14,1.0209e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00034887,1.1326e+18,7.7835e+17,848620000000000.0,295340000000000.0,-0.00059071,0.0024888,-0.03156,2.9007e-11,0.0,0.0,1.0,1.0,0.028026,0.0030692,0.02613,0.0060637,-0.01587,0.013511,-0.015367,0.013844,-0.071653,0.018046,3.3916999999999997e+41,1.6676e+42,60794000000.0,61947000000.0,2990400000000.0,3548800000000.0,0.00014738,1.5886e-11,1.1735e-05,1.1285e-07,2.102e-13,1.3471e-14,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00044542,6.4336e+18,9.9337e+17,3248100000000000.0,374710000000000.0,0.0088382,0.0031753,-0.011113,1.5944e-05,0.0,0.0,1.0,1.0,0.053831,0.0039175,0.044076,0.0076862,0.022986,0.017236,0.020551,0.017125,-0.046293,0.022938,2.3261e+42,2.1281999999999998e+42,103540000000.0,78809000000.0,10181000000000.0,4528600000000.0,0.00049761,9.4913e-06,2.8852e-05,1.099e-06,1.4183e-07,8.9347e-09,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.35572,4.1847e+20,7.9362e+20,3.009e+17,2.9673e+17,4.2927,2.5336,0.14156,0.0087996,0.0,0.0,1.0,1.0,7.3987,3.1293,2.1719,6.1836,11.216,13.786,10.931,14.258,18.503,18.442,5.3585e+45,1.6996e+45,75388000000000.0,62927000000000.0,4368000000000000.0,3619600000000000.0,0.032103,0.0024982,0.0017499,0.00017029,6.7882e-05,5.5938e-06,
