,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0017224085616641953,8.640551473506691e+18,3.5055005408618086e+18,6403149580641902.0,1185491491827637.5,-0.007303415745735515,0.012304633937592886,-0.009068479499551266,7.629704463210897e-05,0.0,0.0,1.0,1.0,0.035291356991084634,0.015144022763744438,0.021005528360178265,0.029814595661218416,-0.05294444859881139,0.0667618500148586,-0.026046237789004466,0.0658869735215452,-0.0761900095997622,0.08867109120356587,2.393286109747399e+42,8.184002558692443e+42,-122573528780.08916,893271492421.9911,11705661251084.695,17474657147102.525,0.00028054234468053357,2.5798503606846508e-05,6.490807285824661e-06,8.837032255572079e-08,7.627777024527125e-07,4.962090683245312e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.013985389249959465,4.474034438250101e+19,2.8419505073975423e+19,2.8173805964013544e+16,9514535366109992.0,0.21270515582721833,0.09987036332956155,0.015192154618475518,0.0002589008214959011,0.0,0.0,0.0,0.0,0.19580828373134165,0.12289249897928978,0.3901377405472825,0.24184150852746458,0.5778207975584967,0.5418752062763063,0.8054231978182306,0.5341832955010786,0.8957387921323914,0.7200332742540407,1.3281550130535913e+44,6.647968023805487e+43,6438246918195.804,7371365212403.255,221545542047578.56,141893867670451.28,0.001939177421847496,8.49606822262043e-05,2.9496349504038e-05,1.9216507523350454e-06,2.070636260611673e-06,1.4019502313149866e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017883,-1.3912e+21,3.6429e+17,-4.3336e+17,116150000000000.0,-9.5075,0.001276,-0.11979,2.1458e-14,0.0,0.0,1.0,1.0,-2.3221,0.0015709,-13.276,0.0030742,-12.691,0.0069451,-25.443,0.006827,-13.673,0.0092061,-4.3559e+45,8.5139e+41,-317450000000000.0,76961000000.0,-8174500000000000.0,1814200000000.0,-0.036044,6.9463e-14,-0.00032165,-1.1047e-05,3.7045e-16,1.3378e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031877,3.2517e+17,6.4947e+17,-622690000000000.0,217950000000000.0,-0.017429,0.0022745,-0.010778,4.8076e-12,0.0,0.0,1.0,1.0,0.0072592,0.0028012,0.0036217,0.005522,-0.080222,0.012346,-0.040299,0.012336,-0.18369,0.016416,-1.2655e+42,1.5129e+42,-30381000000.0,164150000000.0,-2887900000.0,3233700000000.0,-0.00022718,5.8544e-12,-6.3292e-06,-6.9333e-07,3.851e-14,2.5818e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00038172,1.0683e+18,7.7717e+17,680080000000000.0,263430000000000.0,0.00012373,0.0027266,-0.0034491,2.447e-10,0.0,0.0,1.0,1.0,0.025305,0.0033579,0.026486,0.0066132,-0.024911,0.014806,-0.016682,0.014694,-0.064782,0.01967,4.5424e+41,1.8141e+42,59849000000.0,194350000000.0,3831900000000.0,3872100000000.0,0.00011017,3.14e-10,5.5808e-06,-7.5847e-08,3.1644e-12,1.698e-13,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00045176,5.626e+18,9.2029e+17,2588100000000000.0,308510000000000.0,0.0093745,0.003226,-0.00050258,2.7645e-05,0.0,0.0,1.0,1.0,0.050676,0.0039763,0.044119,0.007818,0.01704,0.017509,0.017272,0.017323,-0.038449,0.02328,2.2901e+42,2.1469e+42,163740000000.0,233690000000.0,11038000000000.0,4583700000000.0,0.00042658,2.1926e-05,1.7934e-05,6.4907e-07,3.4523e-07,2.4333e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.35809,3.6356e+20,7.2348e+20,2.3072e+17,2.3368e+17,5.0135,2.5533,0.010107,0.0061533,0.0,0.0,1.0,1.0,6.3583,3.1443,10.734,6.1488,13.278,13.868,13.372,13.659,34.269,18.5,5.4021e+45,1.7073e+45,99140000000000.0,192380000000000.0,5408400000000000.0,3631900000000000.0,0.045027,0.0018996,0.00067831,4.4571e-05,2.975e-05,2.5309e-06,
