,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,3364.0,0.0
mean,98.48038049940547,0.06414833531510282,64.29567643192615,-80.72717407877514,48.73543247265166,0.0014670205053507776,1.0556992885107012e+19,3.306928156956006e+18,6340376122060048.0,955491414982164.1,-0.00995999263029132,0.010473981153388805,-0.04118116626694422,0.00012766694656662523,0.0,0.0,1.0,1.0,0.033758793435493505,0.012886638020214024,0.008584097187277066,0.025308572057074975,-0.038331268576991685,0.05678681423900119,-0.027466054017389926,0.05705580303210454,-0.09716494278834721,0.07562911135552933,2.156073090903688e+42,6.985800564803818e+42,55795767087.69322,243991095422.11652,12170193352630.797,14841455202140.309,0.00029330270541230784,3.2411991499042474e-05,1.1982024366111801e-05,1.8488558214922603e-07,9.974360391342792e-07,6.614768000894507e-08,
std,8.474896991155923,0.0333075352771383,16.27693782977767,0.32422310058370424,0.16265562621905422,0.011201642120290737,4.17097027042106e+19,2.525102444624163e+19,2.741088684607455e+16,7323626970258747.0,0.18093526140646038,0.0800127963000033,0.03498952284502884,0.00039294572486924255,0.0,0.0,0.0,0.0,0.1538630845613981,0.09839055636756537,0.35623508348490945,0.19316130272220622,0.41276798717867547,0.4336846490651415,0.6814314116825874,0.434863739577557,0.6697105351707092,0.5775520658515064,1.0327593880323581e+44,5.335120580696991e+43,1440065240085.812,1860331030210.2627,136147718158368.75,113335954145645.45,0.002618618985633062,0.00011304653075009259,6.627032728693048e-05,5.483774111994882e-06,2.8262745811630834e-06,1.821783109164391e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017856,-8.8916e+20,4.0188e+17,-2.6308e+17,115640000000000.0,-8.4915,0.0012758,-0.16162,3.4032e-14,0.0,0.0,1.0,1.0,-2.3861,0.0015685,-12.243,0.0030764,-10.392,0.0069089,-24.496,0.0068565,-12.728,0.0091893,-2.6962e+45,8.504299999999999e+41,-12136000000000.0,28953000000.0,-4928900000000000.0,1805600000000.0,-0.065242,4.8467e-14,-0.00097338,-8.9901e-05,2.5031e-16,1.5367e-17,
25%,100.0,0.06,49.391771000000006,-81.04978,48.56463725,0.00029184,4.204975e+17,6.555975e+17,-605340000000000.0,189910000000000.0,-0.019006500000000003,0.002077,-0.06562699999999999,4.29275e-12,0.0,0.0,1.0,1.0,0.007736375,0.0025640999999999997,0.0045382,0.0050414,-0.07715625000000001,0.0112905,-0.03949725,0.011505999999999999,-0.2031325,0.015048249999999999,-1.6332499999999997e+42,1.388125e+42,21147250000.0,48553000000.0,-296997500000.0,2950950000000.0,-0.000244945,4.6679e-12,-1.0425e-05,-8.571649999999999e-07,3.212675e-14,1.9648500000000004e-15,
50%,100.0,0.06,64.391582,-80.59047699999999,48.709863999999996,0.000339135,1.1548e+18,7.6175e+17,665330000000000.0,221070000000000.0,0.00011423999999999999,0.0024147,-0.0359985,4.38955e-10,0.0,0.0,1.0,1.0,0.026485,0.0029809,0.027197,0.00586435,-0.015249,0.013121500000000001,-0.015016,0.013426500000000001,-0.07159599999999999,0.017494500000000003,3.5116e+41,1.6134e+42,48367500000.0,56427500000.0,3011750000000.0,3429650000000.0,0.00014562,5.0172e-10,7.7128e-06,-3.42965e-08,5.8052e-12,3.37585e-13,
75%,100.0,0.06,78.3773935,-80.42660925,48.90796075,0.0004439825,6.396425e+18,9.994625e+17,2505325000000000.0,289062500000000.0,0.0096585,0.003162875,-0.013694,4.925725e-05,0.0,0.0,1.0,1.0,0.05315675,0.003899575,0.044874,0.007641449999999999,0.022156250000000002,0.01717375,0.01972175,0.017194,-0.04528425,0.0228365,2.1863750000000002e+42,2.113225e+42,76505750000.0,73938750000.0,10856500000000.0,4490700000000.0,0.00048696,3.1147e-05,2.701125e-05,9.021199999999999e-07,4.926625e-07,3.182575e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.30957,4.3107e+20,6.9543e+20,2.2896e+17,2.0581e+17,2.3246,2.2082,0.15184,0.0058005,0.0,0.0,1.0,1.0,5.3416,2.7178,0.99648,5.3138,9.653,11.982,7.5348,11.811,22.608,15.916,4.6342e+45,1.4743e+45,52966000000000.0,51220000000000.0,3511700000000000.0,3131900000000000.0,0.035423,0.0022997,0.0012521,0.00018018,5.932e-05,3.4717e-06,
