,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0015278161961366995,1.080686314852005e+19,3.443395435364047e+18,8017682296323923.0,1198500784546805.2,-0.012309171902059421,0.01091503842496284,-0.03484092780549782,0.00012959556092706397,0.0,0.0,1.0,1.0,0.03919258650517088,0.013454476344725092,0.003047460992570565,0.02642305872213969,-0.041842324276731034,0.059171608915304555,-0.037686816307340214,0.05932125791976243,-0.10237101615359585,0.07876573167904893,2.136378882644877e+42,7.285436377414569e+42,118230637337.29568,267940408320.95096,6639612722704.309,15547822912332.838,0.00034983742928677483,3.2500746154825986e-05,1.2458789958573586e-05,4.602152242199105e-07,9.361988819117684e-07,6.34451611667392e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.012619719945769015,4.406295142859433e+19,2.8454335586542977e+19,3.3699568962592388e+16,9899228720115694.0,0.21175128797289597,0.09021309878034142,0.03284278447321632,0.0005494785493816053,0.0,0.0,0.0,0.0,0.17864413569829873,0.11113268432222041,0.40910267235756054,0.2184122505639066,0.45950828696312235,0.4889147480220568,0.742835509916044,0.49112591939556927,0.7798758237385239,0.6510606833902175,1.2007933336258739e+44,6.018270446208096e+43,1718860628713.9468,2211691732420.5103,187286308459837.5,128430106915424.44,0.0023004363798625944,0.00017894135223570228,5.753832365221767e-05,4.479773602446172e-06,4.091569950011327e-06,3.1262265876638e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.0001786,-9.1362e+20,4.0243e+17,-2.039e+17,140340000000000.0,-10.111,0.0012763,-0.1595,8.4354e-14,0.0,0.0,1.0,1.0,-2.0985,0.0015724,-14.797,0.0030761,-11.63,0.0069096,-29.201,0.0068013,-15.045,0.0091722,-3.1367e+45,8.519e+41,-15845000000000.0,30520000000.0,-7822900000000000.0,1817100000000.0,-0.041541,7.5347e-14,-0.0016071,-2.395e-05,2.5832e-16,2.7162e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00029412,4.2754e+17,6.6107e+17,-718730000000000.0,231730000000000.0,-0.021411,0.0020989,-0.04902,2.8674e-12,0.0,0.0,1.0,1.0,0.010981,0.002592,0.0032889,0.0051025,-0.078471,0.01139,-0.046494,0.011551,-0.20608,0.01518,-1.633e+42,1.4017e+42,38829000000.0,51701000000.0,-916080000000.0,2993100000000.0,-0.00023773,3.0319e-12,-5.9225e-06,-6.116e-07,1.9864e-14,1.167e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00034839,1.1802e+18,7.8245e+17,846060000000000.0,273080000000000.0,-0.0014489,0.0024862,-0.026272,7.0794e-11,0.0,0.0,1.0,1.0,0.030314,0.0030695,0.023161,0.0060445,-0.019627,0.013497,-0.020118,0.013747,-0.070632,0.018006,3.7689e+41,1.6605e+42,70271000000.0,61260000000.0,2656500000000.0,3545400000000.0,0.0001849,5.4233e-11,9.6597e-06,1.881e-07,4.8332e-13,3.6355e-14,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.0004381,6.7054e+18,9.8766e+17,3294800000000000.0,343080000000000.0,0.0083428,0.003126,-0.010606,2.1663e-05,0.0,0.0,1.0,1.0,0.056772,0.003856,0.038206,0.0075445,0.02244,0.016957,0.010167,0.016792,-0.044721,0.022522,2.1458e+42,2.0887e+42,103700000000.0,76768000000.0,8291800000000.0,4457200000000.0,0.00059801,1.4682e-05,2.6383e-05,1.0893e-06,1.9748e-07,1.2356e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.36012,4.1282e+20,8.0807e+20,2.9057e+17,2.8105e+17,3.6346,2.5712,0.058723,0.018134,0.0,0.0,1.0,1.0,6.8538,3.1717,3.106,6.2324,11.792,13.945,13.776,14.099,27.792,18.587,5.4392e+45,1.7165e+45,58744000000000.0,63307000000000.0,4154100000000000.0,3665300000000000.0,0.043952,0.0057243,0.00088748,0.00013199,0.00010766,8.3328e-06,
