,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0017085712570579464,9.086659435539376e+18,3.6400813729569167e+18,6338735969054978.0,1278846086181277.8,-0.007695206041604756,0.012252558692422017,-0.005389688380322145,4.522550700836336e-05,0.0,0.0,1.0,1.0,0.035039273298098125,0.015036502288261512,0.01936080752689449,0.0297367330460625,-0.052844600068053575,0.0662005397919763,-0.025839312771708724,0.06548938490341742,-0.08284061024725092,0.0881514158395246,3.0190530442793664e+41,8.217845741456175e+42,85391542084.10104,959995938187.2214,12130969196047.549,17404745260029.717,0.00026052647611356016,1.7758587914201275e-05,4.057809389483207e-06,7.892091462109946e-08,6.253340789910701e-07,4.212536273591175e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.013873623835647496,4.991493461876795e+19,2.951670279252158e+19,2.8351823647904356e+16,1.0767198089353894e+16,0.21874916042395648,0.09973532157646543,0.011465988545971485,0.00021966801175346575,0.0,0.0,0.0,0.0,0.19503839415578983,0.12222217775808518,0.41297645226314644,0.24278593566062967,0.5586307023301805,0.5370531371025302,0.791420230029615,0.531517088247729,0.7684008903533543,0.7143211465173829,1.346036977492225e+44,6.671581739003031e+43,4265529638062.9634,7903302256170.142,209781107707264.66,141303680230141.16,0.001728936525163434,7.600626344062728e-05,9.943792500107749e-05,2.751667093693768e-06,2.2382748952448725e-06,1.5453123985483165e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017964,-1.7182e+21,3.8203e+17,-4.4285e+17,116420000000000.0,-10.459,0.0012841,-0.11308,1.0718e-14,0.0,0.0,1.0,1.0,-2.4133,0.0015772,-14.059,0.0030865,-12.057,0.006953,-24.77,0.0068501,-12.349,0.0092298,-3.7886e+45,8.6287e+41,-128290000000000.0,78807000000.0,-8353900000000000.0,1825000000000.0,-0.033545,1.1282e-13,-0.005244,-8.7193e-05,2.9443e-16,1.7513e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00032199,4.4568e+17,6.8574e+17,-616820000000000.0,227990000000000.0,-0.017242,0.0023044,-0.0053736,1.9497e-12,0.0,0.0,1.0,1.0,0.0074411,0.0028307,0.0040218,0.0055813,-0.0815,0.012481,-0.04064,0.012366,-0.18639,0.016638,-2.3302999999999998e+42,1.548e+42,-120280000000.0,180780000000.0,113730000000.0,3284500000000.0,-0.00022517,4.3567e-12,-7.8538e-06,-6.8079e-07,3.1471e-14,1.9328e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00038502,1.227e+18,8.2182e+17,685650000000000.0,273770000000000.0,0.00035137,0.0027571,-0.0016269,4.428e-11,0.0,0.0,1.0,1.0,0.02535,0.0033877,0.026605,0.0066754,-0.025369,0.01493,-0.017015,0.014765,-0.065625,0.019912,-1.9612e+41,1.853e+42,-24759000000.0,212940000000.0,4018900000000.0,3924600000000.0,9.5249e-05,8.9633e-11,4.9656e-06,-5.404e-08,1.1194e-12,6.8189e-14,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00045336,6.081e+18,9.6734e+17,2565000000000000.0,328640000000000.0,0.0095369,0.0032451,-0.00024635,3.4113e-07,0.0,0.0,1.0,1.0,0.050517,0.0039872,0.043418,0.0078451,0.018141,0.017583,0.016119,0.01732,-0.039791,0.023396,1.8305e+42,2.1797e+42,21764000000.0,256630000000.0,11184000000000.0,4619700000000.0,0.00042745,5.9033e-07,1.8059e-05,6.4231e-07,9.8923e-09,6.1937e-10,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.40298,3.1748e+20,8.5816e+20,2.8934e+17,3.2151e+17,4.3634,2.911,0.0377,0.0076936,0.0,0.0,1.0,1.0,6.7705,3.5617,11.284,7.179,12.893,15.582,13.503,15.399,20.111,20.723,6.1573e+45,1.9385e+45,135170000000000.0,229550000000000.0,5075500000000000.0,4107500000000000.0,0.044589,0.0023121,0.0009729,7.7053e-05,6.96e-05,3.6505e-06,
