,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0,0.0
mean,98.4795008912656,0.06414587046940162,64.28116145365406,-80.72748161794405,48.73531037136072,0.0017991487819370164,8.957169063431377e+18,1.1542336512180658e+19,6501089857130125.0,1501213829471182.5,-0.015238887211862728,0.02135888238265001,-0.0016191843688027304,2.2316394258297248e-05,0.0,0.0,1.0,1.0,0.05693457837195475,0.030134050267379708,0.00022187279133686647,0.04725172869875233,-0.08085537396761748,0.09760063582887724,-0.06990827539572153,0.09193549156268564,-0.08499210083440284,0.1216178568033271,1.6545559774569194e+42,1.5844282055852662e+43,-152284040305.407,1977087257872.8462,12686678772222.223,19310890522875.816,0.00033968332597534407,1.0325218921267543e-05,1.5367574387614414e-05,3.995988869069834e-07,3.5816742680742115e-07,2.4021608856981395e-08,
std,8.472770572679295,0.03329778907206195,16.28301584164902,0.3243794920779477,0.1626881297878272,0.015195665348297391,1.3862025811865585e+20,9.73416163151883e+19,3.0164768045176988e+16,1.2736618104107024e+16,0.272080666593277,0.18029839535060807,0.005840518399576477,0.00014066290946784617,0.0,0.0,0.0,0.0,0.43516731775561346,0.2546445383164257,0.7419115193677257,0.40060392950716395,0.860718611183176,0.8235873207347695,1.3914380393730488,0.7764736587052612,1.0496631303340367,1.0256808055111535,2.273092720074561e+44,1.3379903677600769e+44,5555171549525.331,17094549091608.752,218716191276903.53,163099807867477.1,0.0014975070106893387,5.6759419701095414e-05,3.319925312861035e-05,2.1779918103276026e-06,1.8390712637080716e-06,1.2109870652680736e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017251,-6.3754e+21,1.0903e+18,-6.5208e+17,127810000000000.0,-11.978,0.0020538,-0.097473,1.323e-14,0.0,0.0,1.0,1.0,-1.5873,0.0029051,-30.378,0.0044821,-33.025,0.0093288,-49.974,0.0088487,-15.216,0.01164,-7.3223e+45,1.52e+42,-215930000000000.0,136640000000.0,-7217000000000000.0,1854900000000.0,-0.010709,6.2437e-14,-0.00052749,-5.8652e-05,2.6545e-16,1.7664e-17,
25%,100.0,0.06,49.371764,-81.05016325,48.56446375,0.00032304750000000003,-2.9634e+17,2.06845e+18,-632240000000000.0,272817500000000.0,-0.02076525,0.003837025,-0.001522575,1.6844e-12,0.0,0.0,1.0,1.0,0.0179905,0.005409225,-0.003867725,0.008465175,-0.108555,0.017522,-0.04830825,0.01651625,-0.1859575,0.02189725,-1.831875e+42,2.8570250000000003e+42,-357192500000.0,329765000000.0,121687500000.0,3467125000000.0,-6.52405e-05,3.6348e-12,2.476175e-06,-3.9686e-07,2.73665e-14,1.795475e-15,
50%,100.0,0.06,64.3748625,-80.591343,48.70966,0.000392815,3.488e+18,2.52375e+18,851820000000000.0,321475000000000.0,-0.007731399999999999,0.00466805,-0.000410695,6.78745e-12,0.0,0.0,1.0,1.0,0.03819,0.0065793,0.012897,0.010283500000000001,-0.042237,0.021299,-0.020257,0.020078,-0.0676705,0.0266415,9.892099999999999e+41,3.46275e+42,-179485000000.0,406750000000.0,5009700000000.0,4213350000000.0,0.00015211,9.32335e-12,1.0582000000000001e-05,1.6413e-07,1.13985e-13,7.38995e-15,
75%,100.0,0.06,78.36926249999999,-80.4266245,48.9079235,0.00044695499999999997,8.41615e+18,2.877275e+18,2789125000000000.0,383145000000000.0,0.0042205,0.005307875,0.00021968,2.75775e-10,0.0,0.0,1.0,1.0,0.059277750000000004,0.007488575,0.031848,0.01170375,0.01071975,0.02422925,0.00165345,0.02286925,-0.035776,0.03027975,4.4616e+42,3.9349499999999994e+42,-38721500000.0,498780000000.0,12638250000000.0,4797550000000.0,0.000450965,5.852875e-10,2.294925e-05,1.0098250000000001e-06,8.48995e-12,5.412975e-13,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.41267,2.8309e+21,2.6182e+21,2.6265e+17,3.6405e+17,4.4169,4.8891,0.0091641,0.0047804,0.0,0.0,1.0,1.0,16.272,6.926,11.721,11.138,7.1981,22.332,9.321,21.126,37.255,27.726,7.6433e+45,3.6679e+45,102550000000000.0,495260000000000.0,5227600000000000.0,4437400000000000.0,0.033911,0.0015403,0.00049112,4.297e-05,4.0419e-05,2.5064e-06,
