,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.001452347946508178,9.82552666643388e+18,3.209555931649328e+18,7980440020386330.0,1087229298662704.2,0.027327426999375907,0.010465929836552739,0.010075751728297862,0.00019008389536335018,0.0,0.0,1.0,1.0,0.02707651012433883,0.016840037236255597,-0.00046119901426448177,0.03126709138187225,-0.021668575620208002,0.04427957081723631,0.12381126559940582,0.07571946820208038,-0.012968870601782777,0.09156434947994053,2.1467788561245196e+42,6.896345575037128e+42,22732376075.78009,253775310252.6003,4054574584251.709,14785865884101.041,0.0003509209371104042,3.070356140856751e-05,-1.0710750553699959e-06,-5.029843304755712e-07,1.432983279300658e-06,9.664186842496605e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.012145047383149393,4.9440801140935344e+19,2.685911810307701e+19,3.1634741509995296e+16,9104629485654914.0,0.12626900807924027,0.08752580444132935,0.009816333073724334,0.0005486472477783487,0.0,0.0,0.0,0.0,0.22387593007729437,0.14089601748384573,0.5558468030312619,0.2616153740609625,0.5615089165222359,0.37055558947827333,0.9840303315729417,0.6340337450843224,1.239751422861001,0.7667690058285499,1.103661256324452e+44,5.767434919090574e+43,1786639951405.9902,2122956840069.2673,194050145139569.72,123694388721089.58,0.0024472504318940173,8.228599533501066e-05,6.636732492391493e-05,5.388778123877737e-06,3.4766320728290997e-06,2.2947479980917202e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017151,-1.6077e+21,3.7896e+17,-1.5085e+17,128880000000000.0,-2.3737,0.0012355,-0.026259,1.9488e-14,0.0,0.0,1.0,1.0,-1.8972,0.0019872,-26.614,0.0036928,-17.451,0.0052224,-5.7404,0.0089048,-25.909,0.010779,-3.1439e+45,8.1432e+41,-18533000000000.0,29701000000.0,-8344500000000000.0,1743300000000.0,-0.045041,9.3189e-14,-0.00042448,-3.9911e-05,2.6303e-16,1.8594e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00024133,-1.7347e+17,5.3313e+17,-471100000000000.0,179630000000000.0,0.0022399,0.0017391,0.0030923,9.2465e-12,0.0,0.0,1.0,1.0,-0.00054323,0.0027954,-0.012831,0.0051892,-0.04381,0.0073475,0.030937,0.012571,-0.16781,0.015186,-1.4012e+42,1.1456e+42,-37124000000.0,42288000000.0,-3252200000000.0,2455500000000.0,-0.0002734,5.8422e-12,-2.5705e-05,-1.4023e-06,8.3913e-14,5.1941e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00032956,6.2697e+17,7.2796e+17,1046800000000000.0,245320000000000.0,0.022608,0.0023748,0.0072578,9.6934e-09,0.0,0.0,1.0,1.0,0.015889,0.0038257,0.012093,0.0071035,-0.00062153,0.010054,0.073974,0.017218,-0.038955,0.020806,5.1076e+41,1.5652e+42,-2903300000.0,57599000000.0,-451110000000.0,3357700000000.0,0.00013502,5.4569e-09,-5.0296e-06,-8.6352e-07,1.1715e-10,7.9129e-12,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00037749,6.1481e+18,8.3395e+17,3454800000000000.0,282820000000000.0,0.048956,0.0027194,0.014307,9.6197e-05,0.0,0.0,1.0,1.0,0.046477,0.0043749,0.059639,0.0081179,0.027816,0.011501,0.11856,0.019642,0.010525,0.023747,2.5666e+42,1.7924e+42,24872000000.0,66055000000.0,4884400000000.0,3840000000000.0,0.0005198,4.1687e-05,1.2453e-05,-3.169e-07,1.1162e-06,7.3683e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.31077,4.2275e+20,6.8897e+20,2.6706e+17,2.4093e+17,4.1097,2.2397,0.077153,0.011172,0.0,0.0,1.0,1.0,10.828,3.6113,2.5003,6.7116,7.962,9.502,45.809,16.258,46.754,19.666,4.6921e+45,1.4746e+45,77490000000000.0,53443000000000.0,4616300000000000.0,3165100000000000.0,0.04551,0.0014709,0.0013587,0.00015331,7.0692e-05,5.0579e-06,
