,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0014881247340267462,6.634320924071318e+18,8.067926041604758e+18,6634868444606241.0,973277791976225.9,-0.010654106719049039,0.010782105616641908,-0.046197683710847044,0.00015455079722228105,0.0,0.0,1.0,1.0,0.03378948414977712,0.013107873551262994,0.005235233285586922,0.025715980118870704,-0.039782240325705764,0.058926128826151426,-0.029323019978009002,0.05816335884101053,-0.07978905104338782,0.07773188193164939,-4.5450049009857325e+42,1.3232271857355128e+43,56942356846.95394,254952995839.5245,0.0003358277707548286,3.792612453596354e-05,8.03003341827645e-06,1.5592839145913877e-07,1.3681891028649648e-06,8.958627995258593e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.011723539329960597,8.737934658666308e+19,6.33941890666622e+19,2.7444125495902612e+16,7741408329865802.0,0.18083885299421018,0.08507649384942034,0.036652570222541786,0.0004632492149898552,0.0,0.0,0.0,0.0,0.16422301338355413,0.10327848467619952,0.35300587773576814,0.20313685479858468,0.47703918287720165,0.46393311827597683,0.606108077909531,0.4617807522423903,0.6875680623303079,0.6131944736025642,1.2074394767317181e+44,1.0415971159953534e+44,1496289331466.375,1993386154308.0242,0.0022297350690540386,0.00012700764109117854,8.589551319338087e-05,8.887750539903595e-06,4.1512408698249585e-06,2.8865099889971284e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017712,-3.4485e+21,9.5887e+17,-1.5325e+17,115270000000000.0,-8.8986,0.001282,-0.1616,2.0946e-14,0.0,0.0,1.0,1.0,-1.851,0.0015598,-10.114,0.003049,-13.553,0.0070153,-20.754,0.0067965,-12.01,0.0092147,-1.1388e+45,1.5741e+42,-11460000000000.0,29707000000.0,-0.020465,4.1812e-14,-0.0033086,-6.8851e-05,1.6703e-16,7.2799e-18,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00028295,-1.2735e+17,1.5394e+18,-571410000000000.0,184520000000000.0,-0.018888,0.002048,-0.071421,6.3616e-12,0.0,0.0,1.0,1.0,0.0072236,0.0024933,0.0024916,0.0049001,-0.080069,0.011229,-0.038752,0.011106,-0.18347,0.014811,-7.378e+42,2.5194e+42,-1500500000.0,48594000000.0,-0.00024873,6.2017e-12,-1.3912e-05,-9.8275e-07,5.5879e-14,3.4603e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00033028,1.8432e+18,1.7967e+18,656610000000000.0,215920000000000.0,0.00012965,0.0023889,-0.040435,3.8952e-08,0.0,0.0,1.0,1.0,0.025919,0.0029103,0.024978,0.0057241,-0.018061,0.013111,-0.013233,0.013043,-0.071476,0.017288,-2.4996e+42,2.9409e+42,30426000000.0,56753000000.0,0.00014484,4.1587e-08,6.2007e-06,-1.6098e-07,4.9317e-10,3.4865e-11,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00042763,6.4526e+18,2.3242e+18,2715800000000000.0,278980000000000.0,0.0096871,0.0030955,-0.017024,9.2902e-05,0.0,0.0,1.0,1.0,0.052929,0.0037656,0.041815,0.0073907,0.021824,0.016963,0.022325,0.01675,-0.043653,0.022333,2.1982999999999998e+42,3.8057e+42,56294000000.0,73350000000.0,0.00048401,4.7835e-05,2.6359e-05,7.3747e-07,9.8426e-07,6.6295e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.41133,1.2107e+21,2.2172e+21,2.3145e+17,2.7935e+17,1.3436,2.9878,0.11617,0.0067082,0.0,0.0,1.0,1.0,6.6012,3.6249,4.4479,7.1509,8.8233,16.29,6.6532,16.275,24.394,21.533,5.0426e+45,3.6522e+45,69030000000000.0,68279000000000.0,0.047292,0.0029998,0.0014998,0.00044036,0.0001506,1.0963e-05,
