,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0016309090044576504,9.513917562109952e+18,3.563313708766726e+18,6469881301396434.0,1128376121842496.2,-0.009083145290579497,0.011628286745913857,-0.012022250225940606,4.0369284774551995e-05,0.0,0.0,1.0,1.0,0.033837294045497866,0.014294516909361083,0.012605206191381875,0.027701856671619635,-0.04371633042407128,0.06283689913818737,-0.0325447248350669,0.06260102017830611,-0.07984875486478446,0.08377630511144145,1.652703454802379e+42,7.772264008915309e+42,-53454847302.82318,648094474294.2051,0.0002682324269242198,1.5867874995747426e-05,6.297064559673097e-06,2.3774988430609227e-07,5.078740046121284e-07,3.36195950048225e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.012632656215187867,4.298544426328616e+19,2.761024277567981e+19,2.76129126603393e+16,8591573124725544.0,0.19083909283732142,0.09007997423239708,0.019949037518277542,0.00019986179864407922,0.0,0.0,0.0,0.0,0.1710845236643204,0.11067129306505943,0.427752900590433,0.21440537933243828,0.5444525072661501,0.48728613847975066,0.8561885713694818,0.4857493939091719,0.6841374193068304,0.6493467718617962,1.0591950179024977e+44,6.021456880359916e+43,3471395185393.453,5066488083071.304,0.0018091177851198422,8.676203697161638e-05,4.744811252802658e-05,4.804340475176942e-06,2.2440210807071474e-06,1.3981275254085384e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.0001785,-8.1461e+20,3.8811e+17,-2.2037e+17,113840000000000.0,-8.9635,0.0012699,-0.13538,1.9374e-14,0.0,0.0,1.0,1.0,-2.2099,0.0015616,-12.827,0.0030097,-13.532,0.0068669,-33.951,0.0067747,-15.048,0.0091405,-2.2597e+45,8.5171e+41,-81667000000000.0,57380000000.0,-0.019674,3.2852e-14,-0.0013332,-0.00010305,1.4732e-16,8.0897e-18,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031653,3.6089e+17,6.913e+17,-573640000000000.0,220320000000000.0,-0.017857,0.0022549,-0.016253,1.0082e-12,0.0,0.0,1.0,1.0,0.0074747,0.0027758,0.0027975,0.0053845,-0.077463,0.012179,-0.04196,0.012162,-0.18373,0.016232,-1.8012e+42,1.5069e+42,-219340000000.0,123140000000.0,-0.00023079,2.154e-12,-5.4979e-06,-6.6834e-07,1.1258e-14,7.0752e-16,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00038121,1.13e+18,8.3128e+17,671590000000000.0,264520000000000.0,-0.00054203,0.002714,-0.0054184,4.3818e-12,0.0,0.0,1.0,1.0,0.025381,0.003341,0.024897,0.0064858,-0.020927,0.014672,-0.017416,0.01465,-0.064896,0.019572,2.5575e+41,1.8151e+42,-105360000000.0,146950000000.0,0.00010041,6.4271e-12,5.2706e-06,2.1908e-08,6.4178e-14,3.9471e-15,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00045987,5.9164e+18,1.0054e+18,2746700000000000.0,324020000000000.0,0.0091956,0.0032765,-0.00020193,6.0325e-10,0.0,0.0,1.0,1.0,0.051185,0.0040301,0.041899,0.0077965,0.019882,0.017717,0.017191,0.017529,-0.039499,0.023598,2.114e+42,2.1908e+42,-23409000000.0,179640000000.0,0.00042038,1.6681e-09,1.6921e-05,8.2172e-07,2.9494e-11,1.8029e-12,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.33041,4.3486e+20,7.2083e+20,2.3257e+17,2.1133e+17,3.216,2.3538,0.14443,0.0035781,0.0,0.0,1.0,1.0,5.7515,2.8913,9.4175,5.6124,12.206,12.787,14.688,12.684,19.05,16.917,4.9566e+45,1.5754e+45,142110000000000.0,137900000000000.0,0.039604,0.002449,0.0010509,0.00019722,5.6826e-05,2.5337e-06,
