,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0017214230876671638,8.516812475381884e+18,3.568055607726589e+18,6523392749462110.0,1232562181277860.2,-0.009369464894502234,0.012265086062407135,-0.010701256812040639,3.737715497379962e-05,0.0,0.0,1.0,1.0,0.03596833187875166,0.015097937592867783,0.012030779824368463,0.02921174163447245,-0.05031857982347695,0.06622449173848426,-0.032378794516463624,0.06587939735512624,-0.07845716928323913,0.08814633988112934,2.5425580722436893e+42,8.172645468053487e+42,15926519986.03269,933172090341.7533,0.00024036919002210243,1.8576619534687013e-05,6.738423329300752e-06,2.0907869298361781e-07,1.6722149670844922e-06,3.7184316058921794e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.01441098657091031,4.805285089993919e+19,2.9975788048631415e+19,2.8128626138382956e+16,1.0142769567184092e+16,0.23624210082407576,0.10264281201536041,0.01883757911349495,0.00015775906400085894,0.0,0.0,0.0,0.0,0.21621036952846592,0.12642161906067914,0.4130269072210193,0.24449202874462037,0.5977905919946385,0.5545248777970513,0.7931102142686699,0.5539416484194669,0.9177499745911588,0.7377193357456392,1.4156992998528183e+44,6.841036790011703e+43,4037600901203.4863,7843923023181.694,0.001823514101490911,8.501450340310063e-05,8.723928128681132e-05,3.7550865505381823e-06,6.446844123503017e-05,1.409471528783724e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00018001,-1.7299e+21,3.6961e+17,-3.5668e+17,114980000000000.0,-11.214,0.0012802,-0.13253,1.724e-14,0.0,0.0,1.0,1.0,-2.1533,0.0015748,-15.33,0.0030352,-14.547,0.0069205,-26.982,0.0068308,-16.652,0.0092042,-3.9137e+45,8.5448e+41,-105700000000000.0,68803000000.0,-0.036566,8.3311e-14,-0.0044363,-0.00011644,3.5227e-16,2.4871e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031839,2.2986e+17,6.5684e+17,-597230000000000.0,226190000000000.0,-0.017832,0.0022696,-0.012181,1.7926e-12,0.0,0.0,1.0,1.0,0.0073753,0.0027929,0.0034343,0.0054147,-0.079915,0.012241,-0.042269,0.012225,-0.18299,0.016307,-1.6025e+42,1.5108e+42,-137610000000.0,166940000000.0,-0.00022564,4.4459e-12,-5.2364e-06,-5.4224e-07,3.1094e-14,1.8838e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00037684,1.0414e+18,7.7996e+17,662750000000000.0,272850000000000.0,-0.00048025,0.0026837,-0.0037706,3.3839e-11,0.0,0.0,1.0,1.0,0.025197,0.0033048,0.024859,0.0063952,-0.02343,0.014499,-0.017671,0.014476,-0.063984,0.019297,3.622e+41,1.789e+42,-44500000000.0,199250000000.0,0.00010786,6.7303e-11,6.0598e-06,6.5411e-08,8.1468e-13,5.2585e-14,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00045864,5.4126e+18,9.4959e+17,2691700000000000.0,330930000000000.0,0.0090286,0.003265,-0.0008166,5.7274e-08,0.0,0.0,1.0,1.0,0.051165,0.0040208,0.042011,0.0077606,0.018643,0.017644,0.015673,0.017428,-0.038182,0.023487,2.1949e+42,2.1769e+42,9075900000.0,245940000000.0,0.00043537,1.193e-07,1.8576e-05,7.5925e-07,1.8942e-09,1.2768e-10,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.42687,4.9319e+20,8.8583e+20,2.3798e+17,3.0561e+17,4.6583,3.0369,0.041395,0.002345,0.0,0.0,1.0,1.0,7.6479,3.7338,6.7679,7.2375,11.631,16.404,13.124,16.558,33.808,21.825,6.5048e+45,2.0243e+45,151590000000000.0,260350000000000.0,0.042159,0.002224,0.0012251,0.00011373,0.0037384,2.8834e-06,
