,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0014911230698365467,1.0865938265313505e+19,3.3490482199108485e+18,8798694300178306.0,1303969328380386.2,-0.011712980136433853,0.010652031649331347,-0.01663406664234765,0.0001221775069261244,0.0,0.0,1.0,1.0,0.03758348436647845,0.0131246258246657,0.004993411145230301,0.025741294353640386,-0.04167549292184253,0.05777824303120343,-0.04088511751982155,0.057233610520059396,-0.09587977862942063,0.07676434416047563,1.4534451804665704e+42,7.121428650817224e+42,112540486650.52007,266553531649.33136,7392784103328.381,15194103358098.068,0.00028316208664784536,3.0772717127585196e-05,1.25583766090936e-05,4.795070221991088e-07,1.1231573790828019e-06,7.382698209171345e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.01183721303738534,4.531075437722874e+19,2.6591947775986885e+19,3.721149736527674e+16,1.0367617605961366e+16,0.18466227463255658,0.08459660360410032,0.023537719581667997,0.0004911018699498028,0.0,0.0,0.0,0.0,0.1672668117757675,0.10419344914987917,0.34388367057681996,0.20457285092875085,0.43862792770777714,0.4587744796617171,0.7730949450432231,0.45535336370618634,0.6507736070264508,0.6096484398807405,1.1357048686040868e+44,5.653605776093011e+43,1908727016487.6597,2116339650662.3289,205494441655704.28,120613904877927.33,0.0025244801646077007,0.00013950430507112124,9.689447005713902e-05,4.36003037084604e-06,1.2415932507832068e-05,7.728089296022322e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017859,-1.1675e+21,4.0038e+17,-3.0321e+17,154460000000000.0,-8.3671,0.001275,-0.14781,6.4257e-14,0.0,0.0,1.0,1.0,-2.2799,0.0015712,-12.112,0.0030768,-10.892,0.0069181,-28.648,0.0067984,-12.886,0.0091832,-3.2376e+45,8.5309e+41,-22947000000000.0,31857000000.0,-7806300000000000.0,1820600000000.0,-0.039561,4.8798e-14,-0.0015773,-2.3505e-05,3.2751e-16,1.6554e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031271,4.8882e+17,7.0186e+17,-835480000000000.0,273020000000000.0,-0.020122,0.0022326,-0.020337,2.5035e-12,0.0,0.0,1.0,1.0,0.010554,0.0027521,0.0033746,0.005405,-0.077071,0.012117,-0.044289,0.012072,-0.19663,0.016107,-1.9839e+42,1.4936e+42,36729000000.0,55946000000.0,-904180000000.0,3185800000000.0,-0.00023648,2.5532e-12,-5.9463e-06,-6.4021e-07,1.5368e-14,1.0044e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00037174,1.2986e+18,8.3407e+17,931240000000000.0,324710000000000.0,-0.0010603,0.0026553,-0.009007,2.1356e-11,0.0,0.0,1.0,1.0,0.029126,0.0032747,0.023604,0.006426,-0.021596,0.014409,-0.020263,0.014347,-0.067952,0.019162,2.5726999999999997e+41,1.7758e+42,70422000000.0,66691000000.0,3163500000000.0,3789800000000.0,0.00015855,1.3725e-11,8.577e-06,1.5404e-07,1.5504e-13,1.0931e-14,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00044392,6.6899e+18,9.961e+17,3607300000000000.0,386370000000000.0,0.0082241,0.0031692,-0.0027776,1.6719e-05,0.0,0.0,1.0,1.0,0.05454,0.0039068,0.039715,0.007644,0.020228,0.0172,0.0096614,0.016944,-0.042683,0.022826,2.1254e+42,2.1212e+42,107480000000.0,79414000000.0,8509900000000.0,4525100000000.0,0.00053334,1.2875e-05,2.4519e-05,1.0725e-06,1.5651e-07,9.4076e-09,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.31721,4.145e+20,7.1228e+20,3.2589e+17,2.764e+17,2.6637,2.2712,0.072914,0.012036,0.0,0.0,1.0,1.0,5.3253,2.7932,2.8526,5.5118,8.9015,12.306,9.4088,12.412,16.247,16.392,4.8129e+45,1.5154e+45,82634000000000.0,57091000000000.0,4706200000000000.0,3233400000000000.0,0.051475,0.0033343,0.0040798,9.8813e-05,0.00069114,4.2494e-05,
