,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.001539479509658254,1.0410715720237738e+19,3.4702678930163584e+18,6379069203516791.0,998012029717682.0,-0.01000694465185736,0.01098240998514118,-0.040066072961664194,0.00013869946018838354,0.0,0.0,1.0,1.0,0.03463994938567605,0.013506678751857387,0.007941910629717679,0.026568093610698458,-0.04124107502080238,0.05951840216939093,-0.030097721667756313,0.06013633970282356,-0.09608945472481432,0.07934632383358112,2.489585594150964e+42,7.321524956909349e+42,74183029686.47845,256044648736.9985,9911938288855.87,15553520475482.912,0.0003322506988528979,3.2591102425305e-05,1.1542083679346242e-05,0.0,1.028366819774846e-06,1.0,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.011815635492695131,4.16851794136536e+19,2.66984874340918e+19,2.7472609454128044e+16,7652174820621705.0,0.17867613124831905,0.084420498667502,0.03471282205011133,0.0006328253805372217,0.0,0.0,0.0,0.0,0.16214491451386465,0.10369603967766894,0.3783266812650913,0.20462094073432707,0.44751684631895766,0.4570618646499252,0.7232750811114927,0.46712311334132284,0.7065309088105756,0.6106413580557052,1.046133010953665e+44,5.620967404953831e+43,1624146913906.4658,1963624563889.3584,190543953296085.47,119384615963607.64,0.0022915023249695833,0.00011566940574749407,7.575286685735605e-05,0.0,3.2055643901201784e-06,0.0,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.000179,-8.7029e+20,4.0239e+17,-2.66e+17,115280000000000.0,-8.0628,0.0012747,-0.16236,6.964e-15,0.0,0.0,1.0,1.0,-2.3443,0.0015695,-12.253,0.0030794,-10.716,0.0069164,-25.482,0.0068431,-12.736,0.0092091,-2.8218000000000002e+45,8.5095e+41,-11761000000000.0,29352000000.0,-7485900000000000.0,1808100000000.0,-0.037533,2.8246e-14,-0.00072756,0.0,1.3889e-16,1.0,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.0002934,3.483e+17,6.6012e+17,-616460000000000.0,190860000000000.0,-0.019075,0.0020874,-0.063882,4.1462e-12,0.0,0.0,1.0,1.0,0.0076272,0.0025731,0.0044317,0.005066,-0.076874,0.011335,-0.040167,0.01155,-0.20383,0.015117,-1.6342e+42,1.3939e+42,20641000000.0,48803000000.0,-298320000000.0,2962700000000.0,-0.00025671,4.7259e-12,-7.7277e-06,0.0,3.5767e-14,1.0,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00034219,1.0872e+18,7.68e+17,668880000000000.0,222120000000000.0,6.9607e-06,0.0024346,-0.033714,6.4871e-10,0.0,0.0,1.0,1.0,0.026203,0.0030006,0.027404,0.0059103,-0.015938,0.013221,-0.015194,0.013527,-0.070313,0.017645,4.0997e+41,1.6253e+42,48883000000.0,56870000000.0,3040200000000.0,3455600000000.0,0.00014041,7.1443e-10,8.1084e-06,0.0,8.7166e-12,1.0,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00044454,6.4406e+18,9.9887e+17,2528700000000000.0,288700000000000.0,0.0094809,0.0031635,-0.013239,5.7346e-05,0.0,0.0,1.0,1.0,0.053018,0.0038969,0.044271,0.0076349,0.021694,0.017166,0.019699,0.017128,-0.044505,0.022821,2.3598e+42,2.1131e+42,78178000000.0,73759000000.0,10829000000000.0,4490300000000.0,0.0005136,3.6635e-05,2.3617e-05,0.0,5.3817e-07,1.0,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.29553,4.1841e+20,6.6933e+20,2.2935e+17,1.9055e+17,2.9594,2.115,0.15311,0.027803,0.0,0.0,1.0,1.0,4.9696,2.594,2.2952,5.1389,9.7858,11.441,7.4496,11.87,23.577,15.33,4.3878e+45,1.4063e+45,63948000000000.0,49102000000000.0,3553800000000000.0,2986100000000000.0,0.041554,0.00252,0.0028747,0.0,8.3193e-05,1.0,
