,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0017264002169390823,9.747457305117393e+18,3.9494572630014874e+18,6375010935154532.0,1195371393759286.8,-0.008406041627578017,0.012356020445765184,-0.009603780315156029,0.00010957859789611502,0.0,0.0,1.0,1.0,0.03567755046457649,0.01517731916790488,0.01788721567637448,0.02974044585438328,-0.052574703937711645,0.06682376659732533,-0.025749237391381855,0.06615182410104005,-0.08224048164249631,0.08875483830609208,6.292110066270461e+41,8.303105979197606e+42,-157591491194.05646,743007492719.1678,12182912056701.338,17456158454680.535,0.00029839559802228893,3.879480653140045e-05,1.8426989720059295e-06,-3.0234325520653754e-07,1.3830346718271423e-06,9.160439985844557e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.01479765287822718,5.038867103549967e+19,3.3800210250548453e+19,2.860646118310446e+16,1.0298501839437708e+16,0.22377554561256455,0.10593371105130159,0.016462223088558974,0.00034789268061821325,0.0,0.0,0.0,0.0,0.20625655962294043,0.13007219345597396,0.4010580677909608,0.2550608544821237,0.5627980896400467,0.5727124315950468,0.7582686456939788,0.5663839616965328,0.9105676088985898,0.7604507214405887,1.4642819329848314e+44,7.116927619860772e+43,3366953520201.39,6420048452663.197,212634057553635.72,149626526992604.44,0.0021132232861143657,0.00012392110947261726,6.256611576248443e-05,3.5447964509565865e-06,4.073353707649591e-06,2.751552198424688e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017856,-1.739e+21,4.1394e+17,-4.0066e+17,115030000000000.0,-10.734,0.0012773,-0.13307,1.0976e-14,0.0,0.0,1.0,1.0,-2.3068,0.0015732,-12.909,0.0030743,-14.513,0.0069096,-25.0,0.0068137,-13.181,0.0091751,-3.7448e+45,8.597999999999999e+41,-118980000000000.0,62191000000.0,-7810500000000000.0,1805800000000.0,-0.040646,1.9799e-13,-0.0025171,-3.5422e-05,4.8808e-16,3.6225e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031999,4.6718e+17,7.3323e+17,-628130000000000.0,218250000000000.0,-0.017326,0.0022886,-0.011523,1.7717e-11,0.0,0.0,1.0,1.0,0.0074535,0.0028133,0.0040184,0.0055143,-0.081075,0.012386,-0.040469,0.012327,-0.18681,0.016461,-2.3699e+42,1.5385e+42,-68792000000.0,138030000000.0,168960000000.0,3235700000000.0,-0.00023236,1.8885e-11,-1.2656e-05,-9.8551e-07,2.8006e-13,1.6954e-14,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.0003761,1.2849e+18,8.6146e+17,689720000000000.0,257290000000000.0,0.00057132,0.0026896,-0.003581,7.6932e-09,0.0,0.0,1.0,1.0,0.02561,0.0033063,0.027814,0.0064828,-0.022923,0.014563,-0.016867,0.014507,-0.065315,0.019361,-1.9233e+41,1.8082999999999998e+42,-24655000000.0,162270000000.0,4057400000000.0,3803100000000.0,0.00012786,1.7463e-08,3.4773e-06,-1.6659e-07,2.4945e-10,1.5675e-11,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00045165,6.2903e+18,1.0361e+18,2531600000000000.0,308070000000000.0,0.0097998,0.0032323,-0.00075503,4.6756e-05,0.0,0.0,1.0,1.0,0.05078,0.0039709,0.044403,0.0077739,0.018538,0.017476,0.016777,0.017284,-0.039475,0.02325,1.914e+42,2.1726e+42,12940000000.0,197150000000.0,11520000000000.0,4566200000000.0,0.0004934,4.4578e-05,2.0735e-05,6.6256e-07,8.6804e-07,5.4984e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.46331,3.8253e+20,1.0607e+21,2.4961e+17,3.1008e+17,4.599,3.3143,0.064347,0.0079934,0.0,0.0,1.0,1.0,7.5343,4.0692,9.6094,7.9795,10.961,17.921,6.8451,17.714,34.539,23.793,6.8392e+45,2.2282e+45,21009000000000.0,214240000000000.0,5008100000000000.0,4684800000000000.0,0.046864,0.0028617,0.00058043,6.9232e-05,0.00010535,6.1618e-06,
