,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0015249579138187205,7.405454207369988e+18,9.482784101040116e+18,6622627448777414.0,1029785925705795.0,-0.009962428865705806,0.011067422912332866,-0.048939183547399644,0.00015195697534736756,0.0,0.0,1.0,1.0,0.034412776608915396,0.013528051173848468,0.006866498070014866,0.026674937325408567,-0.040761709126894495,0.060666200445765296,-0.03090959381812785,0.0595348476077266,-0.07701021494323933,0.07974116118870733,-3.009707404843986e+42,1.4875407667161972e+43,56798901483.20951,263190009509.65823,0.000295461369565529,3.927516572971472e-05,6.584160307518545e-06,-8.736921148885586e-08,1.3542243714358682e-06,1.0868467473098933e-07,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.012182333838527033,8.890959135918878e+19,7.564134495143467e+19,2.8004104908431756e+16,8256252809132962.0,0.17206181913674184,0.08853498149825356,0.03605606467481981,0.00042976124147642503,0.0,0.0,0.0,0.0,0.163280349881244,0.10814798957821771,0.32913678090097753,0.21355032553249664,0.5108263762351912,0.4842913483601963,0.7015641928500942,0.47953621229568083,0.7489331940026103,0.6378862502390895,1.3087107149098994e+44,1.1886459418552429e+44,1495203476909.53,2097940613312.9949,0.0020083607017946535,0.00013067894260627397,6.168050218745512e-05,5.380706657958238e-06,3.220101179198716e-06,1.080413920303509e-06,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017645,-3.0944e+21,1.0984e+18,-3.0983e+17,118600000000000.0,-8.1941,0.0012795,-0.15968,8.4397e-14,0.0,0.0,1.0,1.0,-2.1993,0.0015639,-9.9521,0.0030942,-15.302,0.0070414,-23.461,0.0068031,-13.428,0.0092497,-2.2498e+45,1.7202e+42,-10181000000000.0,29847000000.0,-0.020785,1.199e-13,-0.00071867,-5.5047e-05,5.517e-16,2.629e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00028153,7.0475e+17,1.7585e+18,-523260000000000.0,189140000000000.0,-0.019017,0.0020372,-0.073233,8.1615e-12,0.0,0.0,1.0,1.0,0.007849,0.0024952,0.0017349,0.0049424,-0.084238,0.011234,-0.039066,0.011069,-0.18313,0.014765,-5.4138e+42,2.7466e+42,-6926600000.0,48620000000.0,-0.00024903,7.4243e-12,-1.5209e-05,-1.1569e-06,8.4764e-14,5.1226e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00032546,2.9352e+18,2.0301e+18,690380000000000.0,219180000000000.0,-3.7146e-05,0.0023579,-0.04435,8.1177e-08,0.0,0.0,1.0,1.0,0.026711,0.0028852,0.024367,0.0057132,-0.018257,0.012996,-0.013573,0.012894,-0.070329,0.017065,-7.208499999999999e+41,3.1734e+42,24285000000.0,56335000000.0,0.00015117,6.552e-08,3.8871e-06,-3.719e-07,9.4357e-10,6.5862e-11,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00042149,8.3836e+18,2.6283e+18,2851300000000000.0,283440000000000.0,0.009539,0.0030563,-0.021463,0.00010266,0.0,0.0,1.0,1.0,0.053597,0.0037362,0.041244,0.0074139,0.020881,0.016821,0.021312,0.016636,-0.042516,0.022126,4.1784999999999997e+42,4.1085e+42,50867000000.0,73076000000.0,0.00048803,5.0445e-05,2.2074e-05,5.3716e-07,1.1305e-06,7.1065e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.37669,1.6396e+21,2.3334e+21,2.3198e+17,2.5796e+17,1.3121,2.7428,0.17456,0.0091189,0.0,0.0,1.0,1.0,6.0982,3.3455,3.5133,6.6502,11.727,14.978,8.4394,15.257,28.238,19.831,4.611e+45,3.6756e+45,61649000000000.0,64971000000000.0,0.035906,0.002805,0.0019391,0.00020922,6.082e-05,6.1542e-05,
