,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878545765218,-80.72730108469527,48.73535810222888,0.0017057408142644851,8.865524183405648e+18,3.756441824665678e+18,6468548826843983.0,1167093393759286.8,-0.009581298138692415,0.012142051560178349,-0.002148332300653791,3.8538308740183006e-05,0.0,0.0,1.0,1.0,0.037091175627340295,0.014945314977711727,0.008872174448439839,0.028900487161961363,-0.05309333905919768,0.0656258068053493,-0.027248475186181374,0.06474106365527502,-0.07873756650838046,0.08747826615156029,1.1837049256858848e+42,8.106598689450198e+42,130197719970.28232,783585722436.85,0.0002504439368846953,1.8932328321936012e-05,3.041824689449274e-08,3.2843585564635945e-07,4.3133178912709604e-07,2.8529233876808113e-08,
std,8.473989246193993,0.03330266110534227,16.279434923855018,0.32425893820957885,0.16268890793983484,0.01358698507011901,4.541454803570031e+19,2.9925590534303343e+19,2.7833309848877804e+16,9438392138818038.0,0.21667592515405243,0.09672259854682319,0.0068009608533089495,0.0001762374761672362,0.0,0.0,0.0,0.0,0.19234134292817248,0.11904504126830785,0.4254918369752975,0.23032335942220866,0.5437983194268733,0.52258397184611,0.7520316418800734,0.516592465506404,0.8148580732124895,0.6955742440704485,1.330316703104662e+44,6.45447110813117e+43,2980330942519.108,6207558603206.724,0.0018256182625059764,0.00010239099861639852,6.69400517864114e-05,2.349764136651455e-06,2.527298943713784e-06,1.7774389151603368e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017932,-1.1518e+21,3.9233e+17,-2.6782e+17,116100000000000.0,-10.557,0.0012744,-0.12676,8.4946e-15,0.0,0.0,1.0,1.0,-2.3297,0.0015699,-13.026,0.0030239,-12.285,0.0069131,-23.218,0.0067762,-15.627,0.0092042,-2.9968e+45,8.5191e+41,-71106000000000.0,66365000000.0,-0.039789,4.1391e-14,-0.0028608,-3.3125e-05,1.8889e-16,9.2068e-18,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00032923,-7.8718e+16,7.2483e+17,-659000000000000.0,219340000000000.0,-0.017571,0.0023422,-0.0022178,1.9548e-12,0.0,0.0,1.0,1.0,0.0097583,0.0028843,-0.0035408,0.005574,-0.082817,0.012685,-0.039647,0.012467,-0.18396,0.016916,-2.9698e+42,1.5662e+42,94497000000.0,152010000000.0,-0.00019868,2.6778e-12,-6.4363e-06,-2.4064e-07,1.5427e-14,9.1082e-16,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00039488,7.0895e+17,8.6791e+17,593480000000000.0,262300000000000.0,-0.00090508,0.002808,-0.000548,7.1621e-12,0.0,0.0,1.0,1.0,0.02778,0.0034551,0.018651,0.0066658,-0.027336,0.015176,-0.015443,0.014938,-0.065371,0.02028,-8.7867e+41,1.8762999999999998e+42,206350000000.0,181060000000.0,0.00010297,7.6469e-12,5.3309e-07,2.1141e-07,6.5488e-14,3.9786e-15,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00047092,5.4319e+18,1.037e+18,2621100000000000.0,313620000000000.0,0.008615,0.0033473,0.00029871,6.8745e-10,0.0,0.0,1.0,1.0,0.05261,0.0041257,0.035801,0.0079497,0.012786,0.018129,0.016964,0.017798,-0.039883,0.024163,1.0182e+42,2.2379999999999998e+42,343200000000.0,218360000000.0,0.00040823,1.533e-09,7.5634e-06,7.1713e-07,1.3601e-11,8.3569e-13,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.4365,3.8491e+20,9.5785e+20,2.2984e+17,2.9915e+17,3.1277,3.1029,0.036334,0.0041626,0.0,0.0,1.0,1.0,7.0178,3.8191,10.576,7.4167,11.783,16.791,13.858,16.597,23.759,22.277,6.4241e+45,2.0723e+45,72773000000000.0,213240000000000.0,0.034528,0.0018727,0.00082742,7.8336e-05,8.7269e-05,6.2509e-06,
