,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.29171522436837,-80.72716490728071,48.735389259138245,0.0016114060564635894,9.84454003712037e+18,3.5486363863298565e+18,7486058775325409.0,1074963331352154.5,-0.018288334976401217,0.011468680445765248,-0.01812286061905823,9.61386337920496e-05,0.0,0.0,1.0,1.0,-0.034738741262407176,0.014105910490341761,0.011596973398632965,0.02730103589895988,-0.022822585325408647,0.062044183803863236,0.012482210162139663,0.06159018011887062,-0.021487552361961437,0.082713685884101,8.782215679940601e+41,7.655889040118892e+42,16691327863.893017,367421678454.68054,6.763734567905107e-05,3.0260350002855408e-05,-8.74820387974581e-06,-1.1401479695624901e-07,1.1414602779398784e-06,8.656658544051849e-08,
std,8.473989246193993,0.03330266110534227,16.279168016129812,0.3242774142842451,0.16268700733686203,0.01167061931967772,4.142618755859179e+19,2.571315933302017e+19,2.7315792063899264e+16,7779259461669074.0,0.19691769416216698,0.08312434459854104,0.027232028980119487,0.0003784147414436244,0.0,0.0,0.0,0.0,0.1720166929531258,0.10216322203049101,0.4086782817510789,0.19757463012071408,0.4996864900872093,0.44946766522909914,0.6484368822665748,0.4457745026906289,0.6974591145127699,0.59871333053465,1.1048625945173142e+44,5.545786202729836e+43,1677028544651.1846,2664071745045.8145,0.002251573226711758,0.00010684404210071047,5.356660502757086e-05,5.891132699987539e-06,1.1288050178394366e-05,8.38776682111959e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017008,-6.1236e+20,3.7411e+17,-1.797e+17,110550000000000.0,-9.2501,0.001209,-0.15163,2.2842e-14,0.0,0.0,1.0,1.0,-1.8761,0.0014876,-12.905,0.0028684,-11.389,0.0065446,-23.412,0.0064533,-16.453,0.0087222,-2.1516e+45,8.0786e+41,-48965000000000.0,38276000000.0,-0.035039,2.9031e-14,-0.00039277,-9.6923e-05,1.9358e-16,3.017e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00034285,3.2025e+17,7.542e+17,372970000000000.0,228570000000000.0,-0.026793,0.0024394,-0.023577,2.9376e-12,0.0,0.0,1.0,1.0,-0.062405,0.0030022,0.0070942,0.0058441,-0.054695,0.013209,-0.0015419,0.013297,-0.13226,0.017651,-3.4875e+42,1.6289e+42,-55591000000.0,78813000000.0,-0.00050405,4.0789e-12,-2.8616e-05,-1.1628e-06,2.9216e-14,1.8903e-15,
50%,100.0,0.06,64.39994,-80.590042,48.709965,0.00044223,1.1661e+18,9.7163e+17,1670400000000000.0,290800000000000.0,-0.0078087,0.0031432,-0.0065985,2.6775e-10,0.0,0.0,1.0,1.0,-0.042445,0.0038717,0.029452,0.0075087,-0.00082947,0.017015,0.021762,0.016929,-0.0025511,0.022702,-1.5404e+42,2.1007e+42,-7902000000.0,100990000000.0,-0.00011164,5.0116e-10,-9.3242e-06,-3.6063e-07,5.218e-12,3.1477e-13,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00051423,5.9637e+18,1.1309e+18,3635300000000000.0,340650000000000.0,0.0013106,0.0036566,-0.0010258,2.0526e-05,0.0,0.0,1.0,1.0,-0.016828,0.0045015,0.045966,0.0087244,0.04067,0.019784,0.056241,0.019815,0.024202,0.026426,3.5860999999999995e+41,2.4409e+42,49800000000.0,117730000000.0,0.00022069,2.3664e-05,5.0476e-06,4.5342e-07,2.8011e-07,1.9975e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.34456,3.9511e+20,7.5889e+20,2.3189e+17,2.3595e+17,2.8184,2.4555,0.066643,0.0093773,0.0,0.0,1.0,1.0,5.9417,3.015,4.785,5.8304,11.316,13.252,11.307,13.092,17.322,17.628,5.2827e+45,1.6368000000000002e+45,35977000000000.0,78892000000000.0,0.040431,0.0026811,0.00094504,0.00023421,0.00063325,3.6311e-05,
