,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0015004243952451638,1.0739479706588406e+19,3.3422482377414636e+18,8929633692154532.0,1290092573551263.0,-0.01192731545304606,0.01068953524517085,-0.01678489370056463,0.00013561072677343309,0.0,0.0,1.0,1.0,0.03715894547280824,0.013168753610698419,0.0014710618668647983,0.025412054799405594,-0.036499505509063994,0.05776650953937593,-0.040494619317384795,0.05759962989598806,-0.0913273036790195,0.07689139643387824,1.5359585272808328e+42,7.139619063893025e+42,105439562018.57355,266257281723.62555,0.00031657384655275005,3.073847318808805e-05,1.0699466203566137e-05,5.428029895542349e-07,1.0586936320233293e-06,6.288764398468311e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.011803093110025779,4.44371160908561e+19,2.628863603046934e+19,3.7252289013194344e+16,1.0152192080796378e+16,0.19349071814537666,0.08415898201292488,0.02426970019182076,0.0004966754857598311,0.0,0.0,0.0,0.0,0.16605335791699063,0.10359639053107432,0.3944407704626438,0.2000268983034834,0.491936040841306,0.4547356559212611,0.644337907995778,0.4548228157677834,0.7018941455482116,0.6055501326900222,1.0948505067730308e+44,5.618331537504825e+43,1409966000052.1262,2090277763871.9534,0.0021125156252132017,0.00013250381551990523,9.523621271851054e-05,6.012436570442062e-06,6.055050248346872e-06,2.52606940819644e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.0001786,-9.5568e+20,3.9718e+17,-2.4616e+17,152920000000000.0,-8.7759,0.0012715,-0.14933,2.007e-14,0.0,0.0,1.0,1.0,-2.2039,0.0015668,-12.961,0.0030148,-12.817,0.0068698,-25.535,0.0067624,-16.822,0.0091204,-2.9253e+45,8.4995e+41,-22228000000000.0,31272000000.0,-0.032486,3.9981e-14,-0.0029101,-4.652e-05,1.6266e-16,9.9041e-18,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031183,4.3764e+17,6.9516e+17,-814070000000000.0,268720000000000.0,-0.020211,0.0022187,-0.020939,2.5518e-12,0.0,0.0,1.0,1.0,0.01047,0.0027381,0.0026136,0.0052885,-0.074921,0.011995,-0.046151,0.012013,-0.19474,0.015965,-1.8838999999999998e+42,1.4832e+42,40261000000.0,55476000000.0,-0.00023799,2.7176e-12,-6.8429e-06,-6.931e-07,1.6044e-14,9.9906e-16,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00037379,1.2674e+18,8.3204e+17,892810000000000.0,320730000000000.0,-0.0014499,0.0026593,-0.0088931,2.9263e-11,0.0,0.0,1.0,1.0,0.028977,0.0032798,0.022745,0.0063311,-0.020712,0.014381,-0.020735,0.014335,-0.066417,0.01912,3.1763e+41,1.7779e+42,74850000000.0,66546000000.0,0.00015483,1.7808e-11,7.0829e-06,1.2225e-07,2.1916e-13,1.2596e-14,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00044845,6.443e+18,9.9954e+17,3766400000000000.0,385150000000000.0,0.0079579,0.0031904,-0.0025459,2.1446e-05,0.0,0.0,1.0,1.0,0.054255,0.0039355,0.03769,0.0075746,0.021022,0.017252,0.0090456,0.017031,-0.040687,0.022939,2.199e+42,2.1334999999999998e+42,119320000000.0,79690000000.0,0.00049922,1.5187e-05,2.1984e-05,1.0654e-06,2.1124e-07,1.2326e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.32282,4.1612e+20,7.1963e+20,3.2151e+17,2.7494e+17,3.2626,2.2979,0.08837,0.0078704,0.0,0.0,1.0,1.0,5.5855,2.8316,3.1243,5.447,11.271,12.423,8.6335,12.239,17.531,16.505,4.9327e+45,1.5362e+45,49084000000000.0,57836000000000.0,0.039599,0.0027824,0.0018285,0.00019015,0.00026266,6.8432e-06,
