,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28730358900434,-80.7273264329865,48.73532707667167,0.001582138502228828,9.51166975408023e+18,3.527973191679058e+18,5916967022882615.0,1057723907875185.8,0.013926742989598818,0.01130013141158989,-0.012259060462526051,5.930187421058558e-05,0.0,0.0,1.0,1.0,0.01931849326537895,0.013896914680534908,0.004226137333016325,0.02735306784546811,0.010491407167904932,0.06134877676077256,-0.000995723489361062,0.06125384695393751,-0.08419338623387841,0.08163108086181285,2.855747858068347e+42,7.541854879643398e+42,-81550828002.08023,401191919167.9049,12942093361156.018,16051190609212.48,0.0005741123042020808,1.904267569549142e-05,1.8416359941753318e-05,7.690008855869223e-08,6.196980236064224e-07,3.983991816626536e-08,
std,8.473989246193993,0.03330266110534227,16.27889385820612,0.3242342405335606,0.1626708357347614,0.011916992003351484,4.8202542145983865e+19,2.6544902713035317e+19,2.7705671429676908e+16,7882498811463232.0,0.18732030316628165,0.08511218761410075,0.018504181044414845,0.00029361815558956645,0.0,0.0,0.0,0.0,0.17476860721813953,0.10469029112053517,0.3413365031590412,0.2060642036266542,0.5106033355650231,0.4621557774935662,0.8477347527552859,0.46317096656934065,0.6900546680255897,0.6152801459088898,1.128315511505795e+44,5.68035148163639e+43,2022373635014.2754,3039809172270.478,218772246197445.56,120932046548151.31,0.002539450630209752,9.987113304121805e-05,5.9843096411418e-05,4.199092597572623e-06,3.3099043443448038e-06,1.814984158413089e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00016439,-1.5669e+21,3.6615e+17,-4.14e+17,107860000000000.0,-8.1664,0.0011735,-0.14733,2.3053e-14,0.0,0.0,1.0,1.0,-1.839,0.0014429,-12.328,0.0028375,-9.9785,0.006379,-31.707,0.0062862,-13.427,0.0084601,-3.725e+45,7.8338e+41,-66067000000000.0,42270000000.0,-8461500000000000.0,1668200000000.0,-0.063974,6.1056e-14,-0.0010548,-6.7934e-05,2.3729e-16,1.5046e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00029859,5.7167e+16,6.6523e+17,-1006500000000000.0,199240000000000.0,0.0047803,0.00213,-0.015894,1.2389e-12,0.0,0.0,1.0,1.0,-0.0082145,0.0026217,-0.0061415,0.0051801,-0.020853,0.011581,-0.011383,0.011608,-0.18493,0.015464,-4.8338999999999994e+41,1.4238e+42,-168000000000.0,75879000000.0,1988100000000.0,3034800000000.0,0.0001131,1.8509e-12,9.4885e-07,-9.7232e-07,1.0164e-14,6.7226e-16,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.0004036,8.6627e+17,8.9991e+17,280680000000000.0,269300000000000.0,0.022788,0.0028797,-0.0061727,4.7519e-12,0.0,0.0,1.0,1.0,0.010114,0.003544,0.01745,0.0069787,0.039042,0.015652,0.013119,0.015666,-0.061146,0.020822,1.4938e+42,1.9244e+42,-104140000000.0,102520000000.0,5824000000000.0,4095400000000.0,0.00045466,5.1686e-12,1.4899e-05,-2.7446e-07,4.5943e-14,2.77e-15,
75%,100.0,0.06,78.373329,-80.426659,48.907955,0.00049836,5.9376e+18,1.1111e+18,2190000000000000.0,332700000000000.0,0.032584,0.0035589,-0.0020581,7.4234e-10,0.0,0.0,1.0,1.0,0.035926,0.0043759,0.034379,0.0085925,0.080163,0.019321,0.04673,0.019163,-0.033813,0.025689,3.3106e+42,2.376e+42,-39994000000.0,125840000000.0,12897000000000.0,5056500000000.0,0.0007978,1.254e-09,2.9657e-05,6.1873e-07,1.6417e-11,9.3204e-13,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.31422,3.9619e+20,6.9782e+20,2.2544e+17,2.026e+17,3.2944,2.2409,0.084032,0.0066214,0.0,0.0,1.0,1.0,5.0836,2.7593,4.6607,5.4545,12.458,12.185,11.185,12.48,18.917,16.316,4.3566e+45,1.4958e+45,31334000000000.0,81642000000000.0,5163200000000000.0,3189600000000000.0,0.038359,0.002362,0.0012572,0.0001013,0.00012001,3.6881e-06,
