,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.001557542802377418,1.0331386176225851e+19,3.511576876671612e+18,6339161736909361.0,1011068879643387.9,-0.009798169236255563,0.011112691976225851,-0.040812097601545326,0.00016663744944493228,0.0,0.0,1.0,1.0,0.03385725875393766,0.013665534710252673,0.008137738200297194,0.026887455839524538,-0.042378240149925674,0.06022331999999995,-0.03154416397830608,0.06092636433878158,-0.09807941152035667,0.080330031322437,1.9835056329272044e+42,7.407416213967297e+42,59638761114.71025,258284488261.5156,9760445489301.635,15735562139673.105,0.0,1.0,4.139159380208049e-06,8.086747050817245e-07,1.12108682246943e-06,7.061552258495176e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.01180556163904194,4.1178926114631655e+19,2.6646673653904163e+19,2.7396101993763948e+16,7680856521875550.0,0.1621608500522258,0.08433684321469845,0.034730135195992495,0.0006044711804951723,0.0,0.0,0.0,0.0,0.15008508123892442,0.10360146423182537,0.3693934770510488,0.20438717673821322,0.48085267029097206,0.4567670291930009,0.7569575572682169,0.46692622513445,0.6498866633337756,0.6107609796947748,9.077752633576906e+43,5.616173632854426e+43,1391577638211.5444,1950154732320.267,182454124248026.34,119285171595367.02,0.0,0.0,5.904627951345845e-05,4.9745808798380734e-06,3.232440867341115e-06,1.981339279389217e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017861,-8.4302e+20,4.0188e+17,-2.4737e+17,115430000000000.0,-6.6111,0.0012739,-0.16625,2.5545e-14,0.0,0.0,1.0,1.0,-2.1465,0.0015666,-11.403,0.0030714,-12.731,0.006906,-30.118,0.0068599,-14.496,0.0091784,-2.831e+45,8.4939e+41,-11833000000000.0,29127000000.0,-7502600000000000.0,1803900000000.0,0.0,1.0,-0.00081408,-3.3646e-05,2.5847e-16,1.5719e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.0002963,3.8941e+17,6.6525e+17,-588800000000000.0,192030000000000.0,-0.019022,0.0021073,-0.063891,5.2707e-12,0.0,0.0,1.0,1.0,0.007274,0.0026012,0.0040025,0.0051179,-0.078751,0.011448,-0.040231,0.011656,-0.20199,0.015268,-1.6603e+42,1.4077e+42,18738000000.0,49219000000.0,-297370000000.0,2992600000000.0,0.0,1.0,-1.3414e-05,-9.3951e-07,4.0309e-14,2.7549e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00034381,1.1458e+18,7.7126e+17,657950000000000.0,223780000000000.0,-0.00055314,0.0024452,-0.035174,1.6338e-09,0.0,0.0,1.0,1.0,0.025544,0.0030159,0.027362,0.0059341,-0.014936,0.013285,-0.015458,0.013613,-0.071785,0.017727,3.0707999999999997e+41,1.6334e+42,45788000000.0,57041000000.0,3063200000000.0,3472300000000.0,0.0,1.0,1.4332e-06,4.5088e-07,2.6705e-11,1.3957e-12,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00047427,6.2795e+18,1.064e+18,2578800000000000.0,307810000000000.0,0.0091531,0.0033714,-0.014137,5.914e-05,0.0,0.0,1.0,1.0,0.052867,0.004159,0.044714,0.0081526,0.020971,0.018322,0.019106,0.018297,-0.045086,0.024359,2.1247e+42,2.254e+42,71752000000.0,78582000000.0,10060000000000.0,4788500000000.0,0.0,1.0,1.7434e-05,2.2626e-06,6.7973e-07,4.3182e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.29758,4.2783e+20,6.6796e+20,2.2965e+17,1.9365e+17,3.2377,2.1186,0.16345,0.012906,0.0,0.0,1.0,1.0,3.6542,2.6098,3.4634,5.14,9.8023,11.508,7.7965,11.738,19.299,15.392,3.3142e+45,1.4146e+45,52178000000000.0,49477000000000.0,3301800000000000.0,3006600000000000.0,0.0,1.0,0.00095532,0.00013621,6.1853e-05,3.4084e-06,
