,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0015032669866270492,1.0919362404843084e+19,3.3956258781575173e+18,6853003472213968.0,1015858008915304.6,-0.011061310898484401,0.010740616879643372,-0.042945340102475554,0.00016558993693948745,0.0,0.0,1.0,1.0,0.037653757352065324,0.013226515809806813,0.005318455286478461,0.026014012867756297,-0.03996797297206533,0.05821475304606254,-0.02998987538683508,0.058729038841010446,-0.10300195504279354,0.07757868900445787,2.181527420802379e+42,7.157430240713235e+42,90642659802.85289,240540082615.156,8970276525586.924,15245129569093.611,0.00037212771712630174,3.721788556407378e-05,1.0659780936701344e-05,2.3099723586062234e-07,1.2120049604773814e-06,8.311946932129765e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.012199080286311694,4.334670326375818e+19,2.7603684349842506e+19,2.8967523344583696e+16,8272127787025077.0,0.17144488834944943,0.0873096288282163,0.03427449113337741,0.0006575181870210441,0.0,0.0,0.0,0.0,0.16320237576799987,0.10734145372833873,0.39001126886055776,0.21153783490427552,0.47078108365106214,0.4726982057976202,0.6301401958974587,0.4792845611936676,0.7359536863270234,0.6309434472348004,1.0985405725637758e+44,5.810665690914964e+43,1406549548058.8123,1941372950977.755,181871098230459.84,123737161298662.92,0.002738281106474627,0.00013777743367213036,6.99844614334381e-05,4.131846776413627e-06,4.1980843543672145e-06,3.265235670101666e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.0001786,-8.5626e+20,4.0455e+17,-1.7776e+17,119800000000000.0,-7.6882,0.0012766,-0.16806,1.8347e-14,0.0,0.0,1.0,1.0,-1.9796,0.0015722,-12.217,0.0030747,-13.915,0.0069099,-20.432,0.0068005,-15.098,0.0091704,-2.9796e+45,8.5029e+41,-11656000000000.0,27734000000.0,-7528800000000000.0,1810100000000.0,-0.037752,2.4518e-14,-0.0017837,-3.5886e-05,2.1466e-16,6.6116e-18,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00028815,4.2491e+17,6.4961e+17,-627950000000000.0,194050000000000.0,-0.020932,0.0020505,-0.064739,4.1766e-12,0.0,0.0,1.0,1.0,0.010066,0.0025367,0.0039848,0.0049765,-0.076677,0.011139,-0.042992,0.011316,-0.20843,0.014833,-1.4813e+42,1.3697e+42,30061000000.0,46254000000.0,-677660000000.0,2919400000000.0,-0.00023601,4.5405e-12,-1.0949e-05,-7.2734e-07,3.3432e-14,1.9863e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.0003322,1.1506e+18,7.4785e+17,718850000000000.0,223920000000000.0,-0.0010539,0.0023652,-0.037829,9.1686e-10,0.0,0.0,1.0,1.0,0.029249,0.0029243,0.024657,0.0057507,-0.016545,0.012847,-0.017419,0.013131,-0.071987,0.017133,3.1579999999999997e+41,1.58e+42,51342000000.0,53406000000.0,2761400000000.0,3367500000000.0,0.00017647,9.17e-10,7.5625e-06,9.5835e-08,1.0716e-11,6.974e-13,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00043255,6.6694e+18,9.749e+17,2785700000000000.0,292120000000000.0,0.0084858,0.0030855,-0.015617,5.8108e-05,0.0,0.0,1.0,1.0,0.056032,0.0038056,0.040737,0.0074539,0.022741,0.016748,0.013834,0.016708,-0.044872,0.022256,2.0960999999999998e+42,2.0588e+42,75093000000.0,69064000000.0,9178200000000.0,4385900000000.0,0.00056915,3.3331e-05,2.6196e-05,9.8947e-07,5.7338e-07,3.673e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.33213,4.2868e+20,7.5513e+20,2.4503e+17,2.231e+17,3.3175,2.3824,0.089346,0.015544,0.0,0.0,1.0,1.0,5.1838,2.9228,6.5746,5.7719,9.814,12.874,8.0588,13.106,21.351,17.234,4.8445e+45,1.5827e+45,49283000000000.0,53103000000000.0,5021200000000000.0,3370000000000000.0,0.068421,0.0023789,0.0012059,0.00013101,7.4114e-05,8.1745e-06,
