,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.29171522436837,-80.72716490728071,48.735389259138245,0.0016699280713224373,9.930598605075788e+18,3.7106933640415995e+18,7339707521084695.0,1137593387815750.2,-0.016850813232243692,0.011923409866270409,-0.015831848492001196,9.57533324940553e-05,0.0,0.0,1.0,1.0,-0.03333770325141158,0.014667325378900396,0.018289865691797934,0.02887992689450219,-0.029493550266270385,0.06472920035661227,0.008984158967607698,0.06411951123328362,-0.028077873497536435,0.08619382237741456,1.4428917732540957e+41,7.970035194650804e+42,33765127337.890045,383355054383.3581,12356042117236.256,16990940059435.363,5.730042601551257e-05,3.174271446701138e-05,-7.6968141825128e-06,-1.6003451172623778e-07,1.0604682434069542e-06,6.602888583399381e-08,
std,8.473989246193993,0.03330266110534227,16.279168016129812,0.3242774142842451,0.16268700733686203,0.012938602810226275,4.386200988094418e+19,2.874718728228658e+19,2.748368706393779e+16,8845621393685440.0,0.20502571249025056,0.0924446510889996,0.023680235588308677,0.0003463224180596622,0.0,0.0,0.0,0.0,0.17894907745037472,0.11366227103280903,0.3811780356761291,0.22393328662823564,0.5068674649551642,0.5014407795250793,0.9141801977596912,0.4976194445816515,0.6945881297374823,0.6678488752496987,1.2042763545260727e+44,6.17463221764749e+43,2479826675183.8926,2982580971804.8677,210169875883221.2,131642047738250.62,0.0021767673092097373,0.0001464233194753017,5.2549020109771786e-05,3.258891918073277e-06,4.657251252580581e-06,2.1999648917964487e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00016973,-1.0593e+21,3.7591e+17,-3.1737e+17,110380000000000.0,-9.4231,0.0012109,-0.13903,1.0847e-14,0.0,0.0,1.0,1.0,-2.3289,0.00149,-13.174,0.0029328,-12.163,0.0065919,-40.027,0.0064705,-15.472,0.0087589,-3.2296e+45,8.1051e+41,-119100000000000.0,36873000000.0,-7902100000000000.0,1729000000000.0,-0.040095,2.3527e-14,-0.00077216,-1.1913e-05,9.4732e-17,8.079e-18,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00034768,4.2442e+17,7.7171e+17,331910000000000.0,234250000000000.0,-0.02613,0.0024821,-0.020152,2.8691e-12,0.0,0.0,1.0,1.0,-0.06161,0.0030519,0.008458,0.0059996,-0.059889,0.013471,0.00018994,0.013382,-0.13694,0.017974,-3.7096999999999996e+42,1.6591999999999998e+42,-41280000000.0,79815000000.0,916070000000.0,3540500000000.0,-0.00049298,4.2565e-12,-2.5069e-05,-1.1286e-06,3.0969e-14,1.7823e-15,
50%,100.0,0.06,64.39994,-80.590042,48.709965,0.00043932,1.2638e+18,9.7421e+17,1684900000000000.0,294190000000000.0,-0.0071706,0.0031307,-0.006154,2.7421e-10,0.0,0.0,1.0,1.0,-0.042132,0.0038576,0.031845,0.0076041,-0.0037535,0.017025,0.023464,0.016955,-0.0054296,0.022668,-1.7869e+42,2.095e+42,2727500000.0,101400000000.0,4814900000000.0,4470400000000.0,-0.00010394,4.9681e-10,-7.1446e-06,-3.4678e-07,5.0913e-12,3.3735e-13,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00051769,6.3075e+18,1.1504e+18,3516700000000000.0,347300000000000.0,0.0019226,0.0036952,-0.0010742,2.1653e-05,0.0,0.0,1.0,1.0,-0.016429,0.0045464,0.048494,0.008954,0.038951,0.020072,0.058325,0.020056,0.021494,0.02673,1.1437999999999999e+41,2.4709e+42,64496000000.0,119630000000.0,12771000000000.0,5268400000000.0,0.00023791,2.3518e-05,6.8294e-06,4.4585e-07,3.4766e-07,2.1918e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.35683,3.7359e+20,7.9007e+20,2.2795e+17,2.4174e+17,3.5399,2.5459,0.033029,0.0053197,0.0,0.0,1.0,1.0,6.0024,3.1332,4.462,6.1391,12.9,13.836,12.708,13.61,17.04,18.374,5.2874e+45,1.7031e+45,38586000000000.0,84041000000000.0,4403000000000000.0,3633500000000000.0,0.041914,0.0048166,0.0014556,9.3374e-05,0.00016042,4.0738e-06,
