,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0015068993224368514,1.023199440264487e+19,3.3398358514115835e+18,8425055856333730.0,1255811533432392.2,-0.01188176508585437,0.010738077592867741,-0.03990980129212482,0.00011787497552397924,0.0,0.0,1.0,1.0,0.03542860689390782,0.01320970781575038,0.001585328917384859,0.025596747875185736,-0.038465754186597305,0.05801422008915319,-0.022933372912927134,0.05854528115898964,-0.10306318607102537,0.07744192564635971,1.9045222640118935e+42,7.176716769687982e+42,81113814988.28827,264743352451.70877,0.0002745937305794933,2.9895457180667324e-05,1.605052669405647e-05,5.162485002338778e-07,9.094877682671323e-07,6.047155332091293e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.011422978794315218,4.204862520028093e+19,2.5311702937697923e+19,3.5477795127399908e+16,9482140411574826.0,0.22232965125051032,0.0814355399871547,0.037867357017570304,0.0005020291294159834,0.0,0.0,0.0,0.0,0.1736517795275814,0.10014682034771102,0.46946225850277645,0.19441308634160281,0.48546786975737233,0.4400685643679708,0.6262815338963078,0.4471932885178626,0.6741797979244876,0.5880374995671174,1.1286218479179625e+44,5.441496112345964e+43,1568750670115.1743,2012140934200.8523,0.002265144107795636,0.0001374276878329689,7.676478827171256e-05,4.73955987201884e-06,4.223386768502804e-06,2.901593783162818e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017483,-7.3663e+20,3.8353e+17,-2.2435e+17,144810000000000.0,-10.604,0.0012326,-0.16565,1.5679e-14,0.0,0.0,1.0,1.0,-2.3693,0.0015327,-17.285,0.0029547,-12.718,0.0066785,-27.797,0.0066704,-20.137,0.0089081,-2.6751e+45,8.3016e+41,-24222000000000.0,30671000000.0,-0.049908,4.4979e-14,-0.00039177,-3.8912e-05,1.4648e-16,1.0499e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.0002915,3.4245e+17,6.4365e+17,-735800000000000.0,244290000000000.0,-0.020163,0.0020717,-0.060989,2.495e-12,0.0,0.0,1.0,1.0,0.0087976,0.0025554,0.0033308,0.0049838,-0.07416,0.011204,-0.041432,0.0115,-0.20542,0.015002,-1.8488e+42,1.3864e+42,23133000000.0,51373000000.0,-0.00024466,2.4868e-12,-5.0578e-06,-6.5273e-07,1.5132e-14,9.5139e-16,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00035182,1.0897e+18,7.7774e+17,806760000000000.0,293570000000000.0,-0.0010662,0.0025028,-0.031646,2.0008e-11,0.0,0.0,1.0,1.0,0.027521,0.003086,0.024827,0.0059962,-0.014618,0.013526,-0.015876,0.013853,-0.071114,0.018099,3.5826999999999995e+41,1.6739e+42,65730000000.0,61814000000.0,0.00014376,1.1038e-11,1.0902e-05,1.3889e-07,1.5322e-13,8.5293e-15,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00045311,6.2052e+18,1.0036e+18,3397100000000000.0,377430000000000.0,0.0085711,0.0032252,-0.010369,2.4006e-05,0.0,0.0,1.0,1.0,0.053399,0.0039711,0.041864,0.007663,0.023408,0.01743,0.020641,0.017337,-0.044014,0.023207,2.3652e+42,2.1578e+42,116640000000.0,79591000000.0,0.00049194,1.5084e-05,2.7348e-05,1.1555e-06,2.2323e-07,1.3433e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.34928,4.1638e+20,7.6984e+20,3.0037e+17,2.8936e+17,3.8275,2.4786,0.1415,0.014365,0.0,0.0,1.0,1.0,7.2509,3.0621,4.3103,5.9809,10.717,13.424,12.348,13.87,13.323,17.996,5.3426e+45,1.6615e+45,62605000000000.0,62035000000000.0,0.045219,0.0041839,0.0023499,0.00015995,0.00011955,7.8105e-06,
