,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0017132730222882626,8.690302819283807e+18,3.469505765230313e+18,6394675507625558.0,1149004561664190.2,-0.009805910422882615,0.0122112009212481,-0.017594967677028988,8.428839731284871e-05,0.0,0.0,1.0,1.0,0.03640622765295693,0.015056430401188758,0.015145404540564672,0.029528329063892973,-0.05253236020475482,0.06629948347696867,-0.031103321871322444,0.06587700017830615,-0.08538698173313536,0.08819644439821694,2.909445980059433e+42,8.141640570579491e+42,-130627537661.159,755176051114.4131,11773832996404.16,17322814234769.688,0.0002593457276793423,3.0273753415764384e-05,6.385783377923378e-06,-7.115112025173836e-08,8.609990436883789e-07,5.552102433563878e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.014783561105921153,4.344413478215307e+19,2.9959458615911543e+19,2.8264950057467052e+16,9908233855506928.0,0.23259312170580257,0.1054363177747692,0.0229546424751523,0.00027998093229062435,0.0,0.0,0.0,0.0,0.2087325922329633,0.12997410265113327,0.4160324237873296,0.25515800774789016,0.5393275719157236,0.5721022867832256,0.7825482091026584,0.5685274850523446,0.8649932449480562,0.7610690305740506,1.500897652641635e+44,7.025135972974784e+43,4356517327223.521,6506727361745.946,196941245437401.94,149481616969563.0,0.0017304411842739974,0.00012292696640434962,8.377497199090778e-05,8.739296712249324e-06,2.4939245035271493e-06,1.665036896792716e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017854,-1.3762e+21,3.6097e+17,-3.5401e+17,116750000000000.0,-11.052,0.0012732,-0.13181,1.3097e-14,0.0,0.0,1.0,1.0,-2.1976,0.0015729,-13.477,0.003091,-13.616,0.0069094,-27.437,0.0068136,-13.233,0.009185,-4.2142e+45,8.4871e+41,-160880000000000.0,70056000000.0,-6441400000000000.0,1805000000000.0,-0.035773,8.2097e-14,-0.0039888,-0.00044628,2.3543e-16,9.787e-18,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031129,3.5664e+17,6.281e+17,-643080000000000.0,208470000000000.0,-0.018339,0.002216,-0.02481,4.687e-12,0.0,0.0,1.0,1.0,0.008064,0.0027374,0.0036334,0.0053691,-0.080903,0.012046,-0.040955,0.012153,-0.19645,0.016041,-1.5094e+42,1.4788e+42,-132040000000.0,137050000000.0,-41283000000.0,3146800000000.0,-0.00023575,5.7002e-12,-8.6482e-06,-8.3974e-07,4.334e-14,2.8091e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00036792,1.039e+18,7.4436e+17,683780000000000.0,248110000000000.0,-0.00010082,0.0026209,-0.0090064,3.4099e-10,0.0,0.0,1.0,1.0,0.026197,0.0032322,0.027004,0.0063501,-0.021344,0.014244,-0.01703,0.014303,-0.0668,0.01896,3.966e+41,1.7478999999999998e+42,-57500000000.0,162120000000.0,3625300000000.0,3719500000000.0,0.00012237,5.1192e-10,6.9573e-06,-1.0931e-07,5.4335e-12,3.8373e-13,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00045214,5.6954e+18,9.1108e+17,2529900000000000.0,305050000000000.0,0.0091608,0.0032245,-0.0024305,2.2106e-05,0.0,0.0,1.0,1.0,0.051537,0.0039762,0.04447,0.0077837,0.018815,0.017497,0.016567,0.017281,-0.040152,0.023251,2.2267e+42,2.1494e+42,-2141500000.0,198690000000.0,11393000000000.0,4572500000000.0,0.00045368,2.1038e-05,2.0153e-05,7.0977e-07,3.2505e-07,2.0756e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.46855,3.9846e+20,9.4407e+20,2.5546e+17,3.1268e+17,5.2395,3.3422,0.13091,0.0053808,0.0,0.0,1.0,1.0,7.7695,4.1244,11.352,8.0951,9.4317,18.132,5.7248,17.875,32.45,24.067,6.8719e+45,2.2259e+45,55760000000000.0,212930000000000.0,4791700000000000.0,4737600000000000.0,0.029511,0.0036184,0.0015695,0.00020137,6.0331e-05,4.2298e-06,
