,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0014620716047548314,1.067401598680535e+19,3.265538558692417e+18,7552309970638930.0,1095816849925705.8,-0.010548821538781594,0.010449121991084692,-0.014127897639821687,9.424155392475948e-05,0.0,0.0,1.0,1.0,0.03505863511479944,0.012855823328380362,0.0031672537955423716,0.025303416433878137,-0.03665491202317975,0.056683738365527335,-0.030769832032838135,0.056351195007429314,-0.08848358439524522,0.07539723465081713,2.0231955537997018e+42,6.97215333135215e+42,82302640430.31204,252867940861.81277,6486003767595.84,14922387251114.412,0.0002672933400208018,2.6434253843874097e-05,9.951590363387818e-06,3.092935777679051e-07,7.235079180125806e-07,4.9169364329494624e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.011379960577161563,4.353895030328104e+19,2.542437956820137e+19,3.1570561529015676e+16,8513125896315015.0,0.20370780068426658,0.08137048285501323,0.02096187190567905,0.0003533649959785663,0.0,0.0,0.0,0.0,0.1542863757425947,0.1000785805944818,0.40881019633542826,0.19722402506753095,0.42436334553855976,0.44123339215622553,0.6257048908713871,0.4398786388408805,0.63836058654231,0.5871594638544079,1.1694033966607442e+44,5.427362900063817e+43,1400234516308.297,1968798227907.75,185538886746095.28,116159508882525.86,0.002435494065037072,0.00013060324294521903,7.510688162278894e-05,4.259112195600127e-06,2.3845412441831517e-06,1.782284278152014e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017857,-9.4941e+20,3.9779e+17,-2.086e+17,131370000000000.0,-9.1183,0.0012752,-0.16433,1.9224e-14,0.0,0.0,1.0,1.0,-2.153,0.0015692,-13.4,0.0030766,-8.821,0.0069219,-24.806,0.0068028,-12.067,0.0092029,-3.3914e+45,8.520999999999999e+41,-20415000000000.0,30440000000.0,-7854900000000000.0,1824600000000.0,-0.045817,7.2105e-14,-0.0018442,-9.7971e-05,2.0137e-16,1.2645e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031284,4.9327e+17,6.9833e+17,-683620000000000.0,235410000000000.0,-0.018923,0.0022349,-0.017214,2.167e-12,0.0,0.0,1.0,1.0,0.0094196,0.0027503,0.0033323,0.0054144,-0.076052,0.012128,-0.042699,0.012058,-0.18606,0.016146,-1.7541e+42,1.4917e+42,31622000000.0,54239000000.0,-952320000000.0,3193500000000.0,-0.00024251,2.4699e-12,-9.6782e-06,-6.994e-07,1.6252e-14,9.5191e-16,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00037389,1.2957e+18,8.3427e+17,862220000000000.0,279530000000000.0,-0.00083277,0.0026724,-0.0071997,1.6972e-11,0.0,0.0,1.0,1.0,0.027925,0.0032886,0.023618,0.006466,-0.02162,0.014497,-0.018161,0.014409,-0.068212,0.019282,2.6201999999999997e+41,1.7827e+42,68320000000.0,64673000000.0,3158000000000.0,3816600000000.0,0.0001334,9.9246e-12,5.801e-06,7.5961e-08,1.4617e-13,9.2716e-15,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00044313,6.5027e+18,9.8926e+17,3167700000000000.0,330100000000000.0,0.0085096,0.0031625,-0.0022931,8.2519e-06,0.0,0.0,1.0,1.0,0.052763,0.0038946,0.040143,0.0076473,0.020166,0.017177,0.013392,0.016893,-0.042498,0.022781,2.0675999999999998e+42,2.1131e+42,108630000000.0,76626000000.0,8465400000000.0,4519500000000.0,0.00046252,5.6951e-06,2.2359e-05,9.917e-07,8.062e-08,4.6933e-09,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.3259,4.0058e+20,7.2806e+20,2.673e+17,2.4311e+17,4.4583,2.3285,0.083626,0.005723,0.0,0.0,1.0,1.0,5.7369,2.8661,3.0528,5.6645,11.529,12.632,12.618,12.569,20.882,16.795,4.9855e+45,1.5535e+45,57230000000000.0,56852000000000.0,3361700000000000.0,3326500000000000.0,0.047869,0.0033712,0.0019947,8.1455e-05,4.6304e-05,4.4786e-06,
