,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28803742317966,-80.7273188716195,48.735338947102576,0.0016506706448737012,7.857197789925709e+18,3.680309411589891e+18,6385740444879643.0,1085958912332838.0,-0.013401468975334296,0.011750604011887057,-0.017211583187390817,8.313500006714541e-05,0.0,0.0,1.0,1.0,-0.03942980996849922,0.014455611619613683,0.005302745937890036,0.027910747013372886,-0.07009740708255573,0.06351910983655278,-0.00999925171619612,0.06309628849925705,-0.04600637608855864,0.08457299298662684,3.7045314901661215e+42,7.846096279346192e+42,70668769007.78603,584898620208.0238,0.0005760294089658267,2.9499285631002164e-05,9.433231740356594e-06,-1.008657478448735e-06,7.90235211893933e-07,5.2756375571036906e-08,
std,8.473989246193993,0.03330266110534227,16.279218568367597,0.3242423063246786,0.1626801034904303,0.012716183328152835,4.243920633558089e+19,2.83936639460749e+19,2.7895613537636824e+16,8366559990911511.0,0.18741706551014667,0.0905523262348809,0.025988267634444666,0.00030053987233540937,0.0,0.0,0.0,0.0,0.17854508967497965,0.11137565576015793,0.3886189658035555,0.2150815620625217,0.5547906721959679,0.48951326919202015,0.7674552734499296,0.4868392676615655,0.8525051711644678,0.6515652514297474,9.887784133510988e+43,6.044170096454134e+43,3382384228184.019,4509835665823.269,0.0018977680348590703,9.300820625871581e-05,6.768592532658089e-05,4.498773059930549e-06,2.3221420286168705e-06,1.6277695283629822e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017421,-9.4433e+20,3.8697e+17,-2.4651e+17,112870000000000.0,-8.5221,0.0012391,-0.15045,2.5683e-14,0.0,0.0,1.0,1.0,-2.3457,0.001524,-13.734,0.0029361,-12.972,0.0067056,-31.746,0.0066102,-15.335,0.008932,-2.565e+45,8.2921e+41,-38110000000000.0,57405000000.0,-0.040745,5.6787e-14,-0.00026879,-6.4506e-05,1.5717e-16,1.4242e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00032214,-1.4716e+18,7.1587e+17,-729910000000000.0,211320000000000.0,-0.021837,0.0022895,-0.021994,5.4577e-12,0.0,0.0,1.0,1.0,-0.067682,0.0028199,-0.001649,0.0054549,-0.10055,0.012388,-0.021612,0.012379,-0.15791,0.016511,-2.2125e+41,1.5301999999999998e+42,-48290000000.0,114480000000.0,7.1117e-05,5.8539e-12,-9.7524e-06,-2.0003e-06,4.3697e-14,2.7032e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00038851,-6.2562e+17,8.6393e+17,544520000000000.0,255940000000000.0,-0.003972,0.0027611,-0.0057169,2.3392e-09,0.0,0.0,1.0,1.0,-0.047946,0.0034019,0.021044,0.0065973,-0.043538,0.014942,0.0025852,0.015068,-0.025706,0.01997,1.6114999999999998e+42,1.8457e+42,16204000000.0,137760000000.0,0.00044809,2.9106e-09,5.9133e-06,-1.2757e-06,3.7565e-11,2.3707e-12,
75%,100.0,0.06,78.373329,-80.426659,48.907955,0.00047483,4.2859e+18,1.0594e+18,2552600000000000.0,311660000000000.0,0.0053373,0.0033786,-0.0011673,3.4907e-05,0.0,0.0,1.0,1.0,-0.022088,0.0041587,0.037926,0.0080279,-0.0043336,0.01827,0.038448,0.018088,0.00078763,0.024347,3.4941e+42,2.2567999999999998e+42,88591000000.0,167200000000.0,0.00078713,3.1933e-05,2.1334e-05,-4.3632e-07,4.4031e-07,2.6767e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.30065,4.0517e+20,6.7018e+20,2.318e+17,2.028e+17,2.9917,2.1393,0.032581,0.0063478,0.0,0.0,1.0,1.0,5.3097,2.6309,4.943,5.0774,11.715,11.576,13.449,11.422,31.791,15.426,4.2094e+45,1.4291e+45,133070000000000.0,109590000000000.0,0.03554,0.0026438,0.0022867,0.00010604,5.0578e-05,4.0728e-06,
