,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.SlCol(IO),Test.SlErr(IO),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 42
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.001523742585438335,1.0827687763809819e+19,3.4269660534918124e+18,9449706492680832.0,1415725578008915.2,-0.01229140009057951,0.010885487072808326,-0.03083677612867756,0.00013423069345547164,0.0,0.0,1.0,1.0,0.03963148427786024,0.013420475007429421,0.002849476928083203,0.02632267447251113,-0.03882379313607729,0.05902820603268936,-0.0349838851123328,0.05906774139673092,-0.10534267378573532,0.07854189105497777,1.415480636805343e+42,7.280224826151558e+42,115253709929.86627,270883706686.47845,7613982676582.467,15510506745913.818,0.00032761174120950984,3.140312104477824e-05,1.450342867815751e-05,6.701309629390788e-07,1.022665157405017e-06,7.07947028928348e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.012596868927928932,4.495102352779049e+19,2.8319749150035034e+19,3.9822357251901304e+16,1.1691011661923874e+16,0.22130517779265296,0.09002867837767108,0.031268262733240945,0.0005424075257659888,0.0,0.0,0.0,0.0,0.1937774918930042,0.11096762345383036,0.42626550352497905,0.21802194728999916,0.46028715935020786,0.4881106191812711,0.7260258390088006,0.49225595251559245,0.7324023142887562,0.6502683425179998,1.249799646409619e+44,6.018379311933774e+43,1461603388897.3477,2241593140862.407,177277530172361.56,128235078239367.64,0.002454833939378477,0.00012480955382839837,4.908735091507244e-05,6.862557194674348e-06,4.6375822931024574e-06,3.3317056149887814e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017861,-1.0288e+21,3.9885e+17,-2.6091e+17,166030000000000.0,-11.04,0.0012714,-0.1613,5.6466e-14,0.0,0.0,1.0,1.0,-2.377,0.0015737,-16.717,0.0030798,-13.733,0.0068913,-23.569,0.0067976,-19.171,0.0091766,-3.1731e+45,8.533199999999999e+41,-13662000000000.0,31570000000.0,-7574800000000000.0,1817600000000.0,-0.048608,1.0396e-13,-0.00073565,-2.0618e-05,3.2418e-16,1.2378e-17,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00029919,4.1827e+17,6.7271e+17,-876480000000000.0,279070000000000.0,-0.021117,0.0021353,-0.043567,2.8866e-12,0.0,0.0,1.0,1.0,0.010833,0.002637,0.0040178,0.0051837,-0.076197,0.011588,-0.045394,0.011695,-0.20466,0.015434,-1.9208e+42,1.4285e+42,37048000000.0,53181000000.0,-811220000000.0,3044900000000.0,-0.0002393,2.7925e-12,-3.2676e-06,-5.5746e-07,1.7742e-14,1.0993e-15,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00035185,1.1918e+18,7.8833e+17,972270000000000.0,327400000000000.0,-0.0013136,0.0025094,-0.021652,4.1226e-11,0.0,0.0,1.0,1.0,0.029836,0.0030996,0.023748,0.0060939,-0.019155,0.013624,-0.019661,0.013837,-0.069643,0.01816,3.4244e+41,1.68e+42,68768000000.0,62564000000.0,2862600000000.0,3581300000000.0,0.00017452,2.5251e-11,1.1783e-05,2.3858e-07,2.6553e-13,1.9824e-14,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.0004403,6.6776e+18,9.9062e+17,3814000000000000.0,409500000000000.0,0.0083002,0.0031432,-0.0081897,2.6394e-05,0.0,0.0,1.0,1.0,0.056495,0.0038766,0.039733,0.0075861,0.022027,0.017051,0.010352,0.01687,-0.044269,0.022652,2.2168e+42,2.1032999999999998e+42,101440000000.0,78239000000.0,8547300000000.0,4481500000000.0,0.00057133,1.8397e-05,2.7617e-05,1.1858e-06,2.3116e-07,1.4759e-08,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.38178,4.2134e+20,8.5414e+20,3.4995e+17,3.5312e+17,3.1959,2.7234,0.1199,0.0098809,0.0,0.0,1.0,1.0,7.5123,3.3658,3.5727,6.6397,11.18,14.788,11.592,15.335,18.833,19.777,5.8151e+45,1.8225e+45,42493000000000.0,68163000000000.0,3741300000000000.0,3886700000000000.0,0.040762,0.0026425,0.00089919,0.00030728,0.00011237,9.0064e-06,
