,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,3365.0,0.0
mean,98.47904903417533,0.06414710252600472,64.28878049450209,-80.72730123417523,48.73535796404166,0.0014421228410103977,1.0571704665099557e+19,3.1943050104011904e+18,7620694655123923.0,1062460736998514.1,-0.010994287961783065,0.010274078692421987,-0.014438911598020824,0.00012083125611384553,0.0,0.0,1.0,1.0,0.03472909432867751,0.01264028243684997,0.0004824606163269099,0.02443443497771174,-0.034167056185854305,0.055529466508172365,-0.03339348062992568,0.055262935869242066,-0.08573848491233296,0.07396154956909387,2.2784317403566094e+42,6.849350326894505e+42,91224603791.67905,247001267161.96136,0.00025773991199346143,2.711759211917341e-05,7.777363857384869e-06,4.746192973402687e-07,8.968405755746946e-07,5.758380894925499e-08,
std,8.473989246193993,0.03330266110534227,16.279433869746242,0.32425881212805374,0.16268887161868265,0.01091267230312577,4.294516487589723e+19,2.4177059667416953e+19,3.1541487471696916e+16,7991821077277812.0,0.1881045230150538,0.07780309655227763,0.021296000700600157,0.0006751638399675679,0.0,0.0,0.0,0.0,0.15349406836581553,0.09564026691448349,0.4030716837238542,0.18497081946967828,0.4360628764153192,0.420498131168381,0.5708559239993134,0.41997431989289874,0.6129205793176775,0.5602952882985668,1.0617812780457553e+44,5.184972076630176e+43,1295901758475.6438,1869759053891.7075,0.0025885684175263814,0.00013493222437931113,6.487020209947143e-05,5.945526650667389e-06,3.939705384450275e-06,2.5670678309158205e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.0001786,-8.7263e+20,3.9526e+17,-1.969e+17,129080000000000.0,-8.1344,0.0012715,-0.15271,6.2933e-15,0.0,0.0,1.0,1.0,-2.2502,0.0015645,-13.867,0.0030136,-11.027,0.0068764,-22.03,0.006771,-16.494,0.00915,-2.9108e+45,8.4845e+41,-19382000000000.0,30249000000.0,-0.047121,1.0127e-14,-0.00087255,-4.1137e-05,4.1153e-17,3.7238e-18,
25%,100.0,0.06,49.381763,-81.049843,48.564377,0.00031219,4.4487e+17,6.9149e+17,-662370000000000.0,232060000000000.0,-0.019482,0.002223,-0.017763,2.2721e-12,0.0,0.0,1.0,1.0,0.0092662,0.0027369,0.0023171,0.0053001,-0.072147,0.012011,-0.043564,0.012002,-0.18332,0.016007,-1.6658e+42,1.4824e+42,32836000000.0,53621000000.0,-0.0002427,2.5063e-12,-1.1177e-05,-7.3115e-07,1.515e-14,9.1551e-16,
50%,100.0,0.06,64.383224,-80.590912,48.709763,0.00037381,1.2518e+18,8.2681e+17,818170000000000.0,276880000000000.0,-0.0011241,0.0026613,-0.0075002,1.5323e-11,0.0,0.0,1.0,1.0,0.027523,0.0032773,0.022783,0.006336,-0.019792,0.014386,-0.018633,0.014331,-0.066716,0.019168,3.2263999999999998e+41,1.7744999999999998e+42,73410000000.0,64151000000.0,0.00011725,9.1825e-12,4.3384e-06,8.8323e-08,1.3321e-13,8.2028e-15,
75%,100.0,0.06,78.373329,-80.426613,48.907955,0.00044805,6.2917e+18,9.9274e+17,3274800000000000.0,328610000000000.0,0.0082654,0.003189,-0.0023502,8.0435e-06,0.0,0.0,1.0,1.0,0.052613,0.0039264,0.038605,0.0075746,0.020894,0.017239,0.012593,0.017001,-0.040895,0.022929,2.1852e+42,2.1267e+42,122740000000.0,76610000000.0,0.0004387,6.3914e-06,2.0646e-05,1.0062e-06,8.0967e-08,6.3442e-09,
max,100.0,0.6,95.769226,-80.368744,49.032265,0.30332,4.1633e+20,6.719e+20,2.6815e+17,2.2021e+17,3.564,2.1618,0.079584,0.019988,0.0,0.0,1.0,1.0,5.1068,2.6572,4.6921,5.1401,10.277,11.683,9.9425,11.657,13.063,15.559,4.6074e+45,1.4412e+45,43556000000000.0,52642000000000.0,0.037704,0.0047078,0.0013972,0.00017617,9.6637e-05,7.6623e-06,
