,Scans,Tint,SZA,Longitude,Latitude,Test.RMS,Test.SlCol(O3),Test.SlErr(O3),Test.SlCol(NO2),Test.SlErr(NO2),Test.SlCol(intensityWavesLogVIS_PC1),Test.SlErr(intensityWavesLogVIS_PC1),Test.Shift(intensityWavesLogVIS_PC1),Test.Err Shift(intensityWavesLogVIS_PC1),Test.Stretch(intensityWavesLogVIS_PC1)1,Test.Stretch(intensityWavesLogVIS_PC1)2,Test.Err Stretch(intensityWavesLogVIS_PC1)1,Test.Err Stretch(intensityWavesLogVIS_PC1)2,Test.SlCol(intensityWavesLogVIS_PC2),Test.SlErr(intensityWavesLogVIS_PC2),Test.SlCol(intensityWavesLogVIS_PC3),Test.SlErr(intensityWavesLogVIS_PC3),Test.SlCol(intensityWavesLogVIS_PC4),Test.SlErr(intensityWavesLogVIS_PC4),Test.SlCol(intensityWavesLogVIS_PC5),Test.SlErr(intensityWavesLogVIS_PC5),Test.SlCol(intensityWavesLogVIS_PC6),Test.SlErr(intensityWavesLogVIS_PC6),Test.SlCol(O4),Test.SlErr(O4),Test.SlCol(CLD),Test.SlErr(CLD),Test.Shift(Spectrum),Test.Err Shift(Spectrum),Test.Stretch(Spectrum)1,Test.Stretch(Spectrum)2,Test.Err Stretch(Spectrum)1,Test.Err Stretch(Spectrum)2,Unnamed: 40
count,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,3368.0,0.0
mean,98.48040380047506,0.06403058194774522,64.2487401793348,-80.72811688747021,48.73507863479815,0.0017932763806413168,1.075137041425179e+19,3.13353959026129e+18,6431071655306116.0,1159651929928741.0,-0.005868311320813542,0.011523096229216094,-0.018975278359841013,8.753576168779738e-05,0.0,0.0,1.0,1.0,0.03602999370635386,0.013805597535629476,-0.000835269616983428,0.0305092536223278,-0.04363593204815917,0.07237821873515451,-0.012577408877672197,0.06912020745249399,-0.07955505270816511,0.0873937520190025,1.645384351107483e+42,8.308063182897892e+42,-36425893322.446556,395928165973.8717,0.00027942496378719536,3.1066186943119036e-05,-7.437133253155799e-07,-6.364503536508521e-07,8.607585616036488e-07,5.355478223364472e-08,
std,8.470334799869175,0.0320048808743297,16.287460527398004,0.32480297554951526,0.16263028976928126,0.013835896737409434,4.7129137217699725e+19,2.4184442428864627e+19,2.8185900065445876e+16,8945727131288623.0,0.10844328918924893,0.08893224470340141,0.024012554847284238,0.00031010452397613826,0.0,0.0,0.0,0.0,0.11295971151957566,0.10653289995122774,0.45439505541451,0.23549361026813667,0.8156491341528983,0.5583750246812779,0.4274995731694041,0.5352305863225231,0.8094620286949986,0.6745033802004131,8.5700489741713065e+43,6.409928345045616e+43,4016466307811.2144,3059395035530.0854,0.0021961884344170613,0.00012069936049661409,8.663187249889472e-05,3.1264811238955576e-06,2.6690722302561574e-06,1.7006391701941577e-07,
min,31.0,0.06,38.339302,-81.360825,48.484283,0.00017756,-6.4634e+20,3.1013e+17,-1.7485e+17,112660000000000.0,-2.4506,0.0011389,-0.14833,4.8404e-15,0.0,0.0,1.0,1.0,-1.7202,0.0013668,-14.69,0.003008,-15.435,0.0071445,-12.119,0.0067356,-17.581,0.0086432,-2.7193e+45,8.2191e+41,-115110000000000.0,35603000000.0,-0.033089,3.0638e-14,-0.0021681,-6.6363e-05,1.2017e-16,5.7732e-18,
25%,100.0,0.06,49.3384705,-81.05047625,48.56463725,0.00030657,2.7927e+17,5.362575e+17,-547452500000000.0,196717500000000.0,-0.018439,0.00196885,-0.027427,2.5907000000000003e-12,0.0,0.0,1.0,1.0,0.0107435,0.002359075,-0.0051841,0.005229350000000001,-0.07738125,0.01237725,-0.043597000000000004,0.011886,-0.1904325,0.01495025,-1.747275e+42,1.4214e+42,-105092500000.0,67187500000.0,-0.00023729249999999998,3.845375e-12,-1.5217500000000001e-05,-1.243525e-06,2.47185e-14,1.2817000000000001e-15,
50%,100.0,0.06,64.3414305,-80.593075,48.709259,0.000354525,1.04785e+18,6.208e+17,768840000000000.0,226920000000000.0,-0.0026665,0.00227655,-0.0119265,1.34445e-10,0.0,0.0,1.0,1.0,0.028204,0.0027288,0.01548,0.0060439,-0.0189815,0.0143075,-0.0214905,0.0137635,-0.057346499999999995,0.01727,3.2749e+41,1.64275e+42,-36644000000.0,77693500000.0,6.6642e-05,2.6634000000000003e-10,-3.1201500000000003e-07,-4.4749e-07,2.9039999999999997e-12,1.47175e-13,
75%,100.0,0.06,78.3448695,-80.4266475,48.90779225,0.0004431675,7.448625e+18,7.75845e+17,2652750000000000.0,284967500000000.0,0.009392075,0.002843225,-0.003807425,1.423325e-05,0.0,0.0,1.0,1.0,0.05319325,0.0034094999999999998,0.03159475,0.0075210749999999995,0.0137025,0.01785875,0.02320425,0.01691025,-0.02877375,0.02156275,3.1010249999999996e+42,2.05395e+42,16878500000.0,97318250000.0,0.000471105,1.4357e-05,1.524925e-05,2.5119749999999996e-07,1.845625e-07,1.06395e-08,
max,100.0,0.6,95.572578,-80.368744,49.026775,0.27362,1.1772e+21,4.8277e+20,3.1448e+17,1.7713e+17,2.5789,1.757,0.12255,0.0054055,0.0,0.0,1.0,1.0,2.4592,2.1054,10.017,4.6663,27.489,11.067,9.9901,10.514,17.132,13.34,2.7144e+45,1.2676e+45,152180000000000.0,61540000000000.0,0.038979,0.0030041,0.0021753,6.2007e-05,4.1394e-05,3.4363e-06,
